Model,Type,Class,Metric,Threshold,CI_lower,CI_upper
Raw ensemble,Overall,NA,Accuracy,0.5,0.8058252427184466,0.9029126213592233
Raw ensemble,Overall,NA,Balanced Accuracy,0.5,0.7794057977967247,0.8815625162602091
Raw ensemble,Overall,NA,F1-macro,0.5,0.7850441702502599,0.8902336911014691
Raw ensemble,Overall,NA,Precision,0.5,0.7618712273641851,0.9295938421225024
Raw ensemble,Overall,NA,Recall (Sensitivity),0.5,0.645548800799467,0.8390911025968497
Raw ensemble,Overall,NA,Specificity,0.5,0.8699186991869918,0.9624199387357282
Raw ensemble,Overall,NA,ROC AUC,probability,0.8283601426107808,0.9275023575388055
Raw ensemble,Overall,NA,PR AUC,probability,0.7626044238930544,0.9064803111398902
Raw ensemble,Per-class,0,Precision,0.5,0.7940861344537815,0.9090909090909091
Raw ensemble,Per-class,0,Recall,0.5,0.8721804511278195,0.9652366163856847
Raw ensemble,Per-class,0,F1,0.5,0.8405689348634233,0.925269559674935
Raw ensemble,Per-class,1,Precision,0.5,0.7680911256700417,0.9275405971712939
Raw ensemble,Per-class,1,Recall,0.5,0.640609375,0.8421052631578947
Raw ensemble,Per-class,1,F1,0.5,0.7153023983315955,0.8618064024390244
Calibrated ensemble,Overall,NA,Accuracy,0.48371014595031736,0.7961165048543689,0.8883495145631068
Calibrated ensemble,Overall,NA,Balanced Accuracy,0.48371014595031736,0.7721542206410609,0.8836881365661181
Calibrated ensemble,Overall,NA,F1-macro,0.48371014595031736,0.7743301588326598,0.8837509429285745
Calibrated ensemble,Overall,NA,Precision,0.48371014595031736,0.7083333333333334,0.8939438502673797
Calibrated ensemble,Overall,NA,Recall (Sensitivity),0.48371014595031736,0.6703598484848484,0.8648850342880194
Calibrated ensemble,Overall,NA,Specificity,0.48371014595031736,0.8393983988697904,0.9407638888888888
Calibrated ensemble,Overall,NA,ROC AUC,probability,0.8264988311504115,0.9252100478739758
Calibrated ensemble,Overall,NA,PR AUC,probability,0.7657282124087409,0.9036465036072153
Calibrated ensemble,Per-class,0,Precision,0.48371014595031736,0.8014705882352942,0.9191397058823528
Calibrated ensemble,Per-class,0,Recall,0.48371014595031736,0.8384615384615385,0.9416787190082644
Calibrated ensemble,Per-class,0,F1,0.48371014595031736,0.8326521853376544,0.916335385729808
Calibrated ensemble,Per-class,1,Precision,0.48371014595031736,0.7158685064935065,0.8947564807541241
Calibrated ensemble,Per-class,1,Recall,0.48371014595031736,0.6764507154213037,0.860792230467045
Calibrated ensemble,Per-class,1,F1,0.48371014595031736,0.7105263157894737,0.8518888888888889
