epoch,tr_loss,tr_acc,tr_bal_acc,tr_mcc,tr_auc,tr_f1_macro,tr_TN,tr_FP,tr_FN,tr_TP,tr_sensitivity,tr_specificity,va_loss,va_acc,va_bal_acc,va_mcc,va_auc,va_f1_macro,va_TN,va_FP,va_FN,va_TP,va_sensitivity,va_specificity
1,0.133797981,0.496206373,0.496889344,-0.006228033,0.525774669,0.496112391,159,179,153,168,0.523364486,0.470414201,0.120733487,0.62195122,0.5,0,0.747944339,0.383458647,102,0,62,0,0,1
2,0.133576156,0.517450683,0.518028735,0.036053813,0.53074568,0.517449572,170,148,170,171,0.501466276,0.534591195,0.122760611,0.682926829,0.691334598,0.371222934,0.789215686,0.677116462,67,35,17,45,0.725806452,0.656862745
3,0.127137331,0.566009105,0.565998895,0.132009949,0.617702865,0.56598412,189,141,145,184,0.559270517,0.572727273,0.120853635,0.640243902,0.666508539,0.325905573,0.778621126,0.639157188,57,45,14,48,0.774193548,0.558823529
4,0.118104969,0.669195751,0.668044801,0.337304444,0.717763643,0.66803309,201,119,99,240,0.707964602,0.628125,0.112407882,0.725609756,0.706672992,0.414692444,0.807716635,0.707317073,80,22,23,39,0.629032258,0.784313725
5,0.114030117,0.676783005,0.676700317,0.353651544,0.742041854,0.676637064,230,101,112,216,0.658536585,0.694864048,0.108104977,0.75,0.719955724,0.456101784,0.811669829,0.725494999,86,16,25,37,0.596774194,0.843137255
6,0.113487177,0.687405159,0.687872333,0.375550772,0.756086427,0.687369885,223,95,111,230,0.674486804,0.701257862,0.111799499,0.725609756,0.744623656,0.474789789,0.840923466,0.722629383,68,34,11,51,0.822580645,0.666666667
7,0.104096946,0.746585736,0.746546007,0.493788366,0.828401032,0.746396532,255,75,92,237,0.720364742,0.772727273,0.103969572,0.743902439,0.721378874,0.449050487,0.829380139,0.724038462,83,19,23,39,0.629032258,0.81372549
8,0.102271993,0.763277693,0.76257166,0.526196788,0.826185736,0.7627527,267,71,85,236,0.735202492,0.789940828,0.098965671,0.75,0.719955724,0.456101784,0.847248577,0.725494999,86,16,25,37,0.596774194,0.843137255
9,0.103360485,0.757207891,0.756085024,0.511947242,0.813012874,0.755966598,226,79,81,273,0.771186441,0.740983607,0.100985365,0.762195122,0.755060089,0.503205251,0.846774194,0.75084726,80,22,17,45,0.725806452,0.784313725
10,0.10035877,0.772382398,0.768844198,0.542556369,0.834724919,0.769859378,220,89,61,289,0.825714286,0.71197411,0.102171326,0.762195122,0.764547755,0.516235516,0.841872233,0.754519286,77,25,14,48,0.774193548,0.754901961
11,0.098840533,0.761760243,0.759927298,0.522634574,0.834972506,0.760380841,276,67,90,226,0.715189873,0.804664723,0.108454344,0.713414634,0.73798229,0.46328147,0.85199241,0.711602499,65,37,10,52,0.838709677,0.637254902
12,0.098490619,0.754172989,0.752488504,0.506518111,0.83197289,0.752916181,272,74,88,225,0.71884984,0.786127168,0.10561079,0.756097561,0.765970904,0.516491917,0.845509171,0.750759878,74,28,12,50,0.806451613,0.725490196
13,0.09207436,0.784522003,0.78409615,0.568333858,0.869149741,0.784159686,272,70,72,245,0.772870662,0.795321637,0.09408371,0.768292683,0.753636939,0.507273877,0.848987982,0.753636939,83,19,19,43,0.693548387,0.81372549
14,0.091775461,0.801213961,0.799198251,0.602462284,0.86626287,0.79987018,291,52,79,237,0.75,0.848396501,0.092009167,0.804878049,0.786211259,0.580558129,0.856578115,0.78974359,88,14,18,44,0.709677419,0.862745098
15,0.091374535,0.819423369,0.819185607,0.638547799,0.871131265,0.819256893,280,58,61,260,0.809968847,0.828402367,0.095047356,0.768292683,0.715686275,0.495759865,0.863219481,0.726666667,95,7,31,31,0.5,0.931372549
16,0.094415433,0.784522003,0.784342736,0.568685472,0.851055494,0.784342736,268,71,71,249,0.778125,0.790560472,0.106484595,0.743902439,0.762492094,0.50928105,0.848355471,0.740779768,70,32,10,52,0.838709677,0.68627451
17,0.088105821,0.810318665,0.81033466,0.620583553,0.881588162,0.810274977,262,61,64,272,0.80952381,0.811145511,0.092218932,0.780487805,0.769765971,0.536318904,0.851201771,0.768033946,83,19,17,45,0.725806452,0.81372549
18,0.091265738,0.810318665,0.808181632,0.616558394,0.862956965,0.8082773,233,63,62,301,0.829201102,0.787162162,0.091915734,0.768292683,0.744149273,0.499315985,0.85341556,0.74850686,86,16,22,40,0.64516129,0.843137255
19,0.084771735,0.830045524,0.829560114,0.660271083,0.89429456,0.829759752,287,49,63,260,0.80495356,0.854166667,0.093005665,0.774390244,0.761701455,0.521796428,0.847881088,0.760866995,83,19,18,44,0.709677419,0.81372549
20,0.080539917,0.842185129,0.840761675,0.682219073,0.909729429,0.841078153,250,54,50,305,0.85915493,0.822368421,0.087790481,0.804878049,0.779886148,0.57758261,0.86401012,0.786597267,90,12,20,42,0.677419355,0.882352941
21,0.077958869,0.833080425,0.832890929,0.665898479,0.917408616,0.832941556,284,54,56,265,0.825545171,0.840236686,0.090981877,0.798780488,0.787634409,0.573503143,0.85483871,0.786719212,85,17,16,46,0.741935484,0.833333333
22,0.07481706,0.852807284,0.849837512,0.702735356,0.923876509,0.851029021,317,42,55,245,0.816666667,0.883008357,0.088698504,0.792682927,0.773244782,0.554256601,0.857843137,0.776602564,87,15,19,43,0.693548387,0.852941176
23,0.079080316,0.840667678,0.838533852,0.679146633,0.910512179,0.839335843,307,47,58,247,0.809836066,0.867231638,0.089451473,0.798780488,0.784471853,0.570797022,0.858633776,0.785365854,86,16,17,45,0.725806452,0.843137255
24,0.074085992,0.867981791,0.868191962,0.736003932,0.928027998,0.867903923,278,40,47,294,0.862170088,0.874213836,0.088179535,0.792682927,0.776407337,0.556523104,0.859108159,0.778131466,86,16,18,44,0.709677419,0.843137255
25,0.073456727,0.867981791,0.867780665,0.735866512,0.931824045,0.867883223,295,41,46,277,0.857585139,0.87797619,0.088649601,0.798780488,0.784471853,0.570797022,0.858475648,0.785365854,86,16,17,45,0.725806452,0.843137255
26,0.074041683,0.848254932,0.847907063,0.696135117,0.930707173,0.848036231,292,48,52,267,0.836990596,0.858823529,0.087947253,0.798780488,0.781309298,0.568446187,0.859108159,0.783926219,87,15,18,44,0.709677419,0.852941176
27,0.076074994,0.852807284,0.852921671,0.706618283,0.92279493,0.852740823,288,40,57,274,0.827794562,0.87804878,0.088932408,0.786585366,0.771505376,0.544779592,0.858791904,0.772357724,85,17,18,44,0.709677419,0.833333333
28,0.076034219,0.846737481,0.846045041,0.691589919,0.921860797,0.845777231,305,52,49,253,0.837748344,0.854341737,0.0877643,0.792682927,0.773244782,0.554256601,0.859582543,0.776602564,87,15,19,43,0.693548387,0.852941176
29,0.077163389,0.839150228,0.839358762,0.67868626,0.916615994,0.839149857,277,58,48,276,0.851851852,0.826865672,0.088007164,0.798780488,0.781309298,0.568446187,0.858317521,0.783926219,87,15,18,44,0.709677419,0.852941176
30,0.075719823,0.863429439,0.864016409,0.727871801,0.922285214,0.863426608,283,37,53,286,0.843657817,0.884375,0.090056056,0.786585366,0.777830487,0.550847713,0.856894371,0.775140048,83,19,16,46,0.741935484,0.81372549
31,0.076333973,0.840667678,0.840815102,0.681102276,0.920229853,0.84045607,265,49,56,289,0.837681159,0.843949045,0.090049474,0.786585366,0.777830487,0.550847713,0.857368754,0.775140048,83,19,16,46,0.741935484,0.81372549
32,0.074767929,0.863429439,0.863414028,0.726828055,0.927131119,0.863414028,288,45,45,281,0.86196319,0.864864865,0.08905678,0.798780488,0.787634409,0.573503143,0.858159393,0.786719212,85,17,16,46,0.741935484,0.833333333
33,0.076616732,0.84370258,0.84342749,0.686759894,0.919279055,0.843377998,293,52,51,263,0.837579618,0.849275362,0.088733533,0.792682927,0.776407337,0.556523104,0.857843137,0.778131466,86,16,18,44,0.709677419,0.843137255
34,0.0743662,0.852807284,0.852879408,0.705804325,0.927614126,0.852805928,282,45,52,280,0.843373494,0.862385321,0.088781716,0.792682927,0.776407337,0.556523104,0.857843137,0.778131466,86,16,18,44,0.709677419,0.843137255
