mode,metric,value
raw@0.5,precision_0,0.8275862068965517
raw@0.5,recall_0,0.9375
raw@0.5,f1_0,0.8791208791208792
raw@0.5,precision_1,0.8688524590163934
raw@0.5,recall_1,0.6794871794871795
raw@0.5,f1_1,0.762589928057554
raw@0.5,TPR,0.6794871794871795
raw@0.5,TNR,0.9375
raw@0.5,FPR,0.0625
raw@0.5,FNR,0.32051282051282054
raw@0.5,PPV,0.8688524590163934
raw@0.5,NPV,0.8275862068965517
raw@0.5,roc_auc,0.8814102564102563
raw@0.5,pr_auc,0.848301150871757
uncalibrated@t_opt,precision_0,0.8275862068965517
uncalibrated@t_opt,recall_0,0.9375
uncalibrated@t_opt,f1_0,0.8791208791208792
uncalibrated@t_opt,precision_1,0.8688524590163934
uncalibrated@t_opt,recall_1,0.6794871794871795
uncalibrated@t_opt,f1_1,0.762589928057554
uncalibrated@t_opt,TPR,0.6794871794871795
uncalibrated@t_opt,TNR,0.9375
uncalibrated@t_opt,FPR,0.0625
uncalibrated@t_opt,FNR,0.32051282051282054
uncalibrated@t_opt,PPV,0.8688524590163934
uncalibrated@t_opt,NPV,0.8275862068965517
uncalibrated@t_opt,roc_auc,0.8814102564102563
uncalibrated@t_opt,pr_auc,0.848301150871757
calibrated@t_opt,precision_0,0.8275862068965517
calibrated@t_opt,recall_0,0.9375
calibrated@t_opt,f1_0,0.8791208791208792
calibrated@t_opt,precision_1,0.8688524590163934
calibrated@t_opt,recall_1,0.6794871794871795
calibrated@t_opt,f1_1,0.762589928057554
calibrated@t_opt,TPR,0.6794871794871795
calibrated@t_opt,TNR,0.9375
calibrated@t_opt,FPR,0.0625
calibrated@t_opt,FNR,0.32051282051282054
calibrated@t_opt,PPV,0.8688524590163934
calibrated@t_opt,NPV,0.8275862068965517
calibrated@t_opt,roc_auc,0.8814102564102563
calibrated@t_opt,pr_auc,0.848301150871757
