Model,Type,Class,Metric,Threshold,CI_lower,CI_upper
Raw ensemble,Overall,NA,Accuracy,0.5,0.7281553398058253,0.8398058252427184
Raw ensemble,Overall,NA,Balanced Accuracy,0.5,0.6956230703619037,0.8198494124248281
Raw ensemble,Overall,NA,F1-macro,0.5,0.6949076601798521,0.8265193683496393
Raw ensemble,Overall,NA,Precision,0.5,0.6427579365079366,0.848505603985056
Raw ensemble,Overall,NA,Recall (Sensitivity),0.5,0.5432010582010581,0.7564102564102564
Raw ensemble,Overall,NA,Specificity,0.5,0.7985044535387578,0.9224806201550387
Raw ensemble,Overall,NA,ROC AUC,probability,0.8100193328079852,0.9120931072367511
Raw ensemble,Overall,NA,PR AUC,probability,0.7613737734082726,0.896103636507271
Raw ensemble,Per-class,0,Precision,0.5,0.7372166730695351,0.8666666666666667
Raw ensemble,Per-class,0,Recall,0.5,0.8099173553719008,0.9218777703900709
Raw ensemble,Per-class,0,F1,0.5,0.7843058823529412,0.879128672745694
Raw ensemble,Per-class,1,Precision,0.5,0.6428304904051173,0.8552631578947368
Raw ensemble,Per-class,1,Recall,0.5,0.5540184921763869,0.7530864197530864
Raw ensemble,Per-class,1,F1,0.5,0.6056008714155436,0.7777927927927928
Calibrated ensemble,Overall,NA,Accuracy,0.5157282590866089,0.6990291262135923,0.8106796116504854
Calibrated ensemble,Overall,NA,Balanced Accuracy,0.5157282590866089,0.6728055735425471,0.7944796709022456
Calibrated ensemble,Overall,NA,F1-macro,0.5157282590866089,0.6729372710622711,0.7991694691720068
Calibrated ensemble,Overall,NA,Precision,0.5157282590866089,0.590115718418515,0.8082191780821918
Calibrated ensemble,Overall,NA,Recall (Sensitivity),0.5157282590866089,0.5189644654567638,0.7397393702188222
Calibrated ensemble,Overall,NA,Specificity,0.5157282590866089,0.7741935483870968,0.8976421058681533
Calibrated ensemble,Overall,NA,ROC AUC,probability,0.7359533921533349,0.8666204947191988
Calibrated ensemble,Overall,NA,PR AUC,probability,0.6648701180917501,0.8393254143727983
Calibrated ensemble,Per-class,0,Precision,0.5157282590866089,0.7184944868532656,0.8518790849673202
Calibrated ensemble,Per-class,0,Recall,0.5157282590866089,0.7709923664122137,0.8965988685344828
Calibrated ensemble,Per-class,0,F1,0.5157282590866089,0.7559055118110236,0.8620720116973315
Calibrated ensemble,Per-class,1,Precision,0.5157282590866089,0.591533290653009,0.809575569358178
Calibrated ensemble,Per-class,1,Recall,0.5157282590866089,0.5135135135135135,0.7341962787860302
Calibrated ensemble,Per-class,1,F1,0.5157282590866089,0.5753031664046709,0.7421563342318058
