epoch,tr_loss,tr_acc,tr_bal_acc,tr_mcc,tr_auc,tr_f1_macro,tr_TN,tr_FP,tr_FN,tr_TP,tr_sensitivity,tr_specificity,va_loss,va_acc,va_bal_acc,va_mcc,va_auc,va_f1_macro,va_TN,va_FP,va_FN,va_TP,va_sensitivity,va_specificity
1,0.13186124287047465,0.5699088145896657,0.5700130269685967,0.14010179671630982,0.5881399151861194,0.5698283369871304,183,148,135,192,0.5871559633027523,0.552870090634441,0.09901020936219089,0.7515151515151515,0.6867413632119514,0.47044988802218946,0.8565203859321506,0.6930720021777597,98,4,37,26,0.4126984126984127,0.9607843137254902
2,0.12005951336519878,0.6534954407294833,0.6469669502161484,0.2983603851269231,0.6893227350904103,0.6471849865951742,259,96,132,171,0.5643564356435643,0.7295774647887324,0.09721905071602528,0.7212121212121212,0.7168534080298786,0.42557245135381483,0.8177715530656707,0.7110112701797137,75,27,19,44,0.6984126984126984,0.7352941176470589
3,0.11057413582857076,0.7051671732522796,0.7050669923754533,0.40990647378607015,0.7647262935820563,0.7048945358374714,222,94,100,242,0.7076023391812866,0.7025316455696202,0.0900168385867209,0.8242424242424242,0.7910830999066294,0.6227357494617254,0.8727046374105197,0.803159323707269,95,7,22,41,0.6507936507936508,0.9313725490196079
4,0.10796629830538139,0.7127659574468085,0.713197172034564,0.42665663684919347,0.7793170371054942,0.7127334465195246,238,85,104,231,0.6895522388059702,0.7368421052631579,0.08638527919818838,0.8181818181818182,0.7801120448179272,0.6111323313521408,0.8856209150326797,0.7935435435435436,96,6,24,39,0.6190476190476191,0.9411764705882353
5,0.10466531680551525,0.7416413373860182,0.7411658165151179,0.48345876574103913,0.8005378132623641,0.7411726595400064,258,76,94,230,0.7098765432098766,0.7724550898203593,0.08743686564491097,0.806060606060606,0.8158263305322129,0.6151230369123043,0.8849984438219732,0.8015037593984963,79,23,9,54,0.8571428571428571,0.7745098039215687
6,0.1009417322201026,0.7386018237082067,0.7386128364389234,0.47713747903981885,0.8152774696835257,0.7385414356472241,238,84,88,248,0.7380952380952381,0.7391304347826086,0.1178320415923933,0.7212121212121212,0.7563025210084033,0.5059561867267832,0.8523187052598816,0.7209558823529412,62,40,6,57,0.9047619047619048,0.6078431372549019
7,0.09851892664462418,0.7370820668693009,0.737082066869301,0.4741663240704504,0.8248676564333293,0.7370814596166415,243,86,87,242,0.7355623100303952,0.7386018237082067,0.09210124293185142,0.7696969696969697,0.765172735760971,0.5223589781126694,0.843915343915344,0.7601010101010102,80,22,16,47,0.746031746031746,0.7843137254901961
8,0.09065874995193855,0.78419452887538,0.7837367680805389,0.5676206180760952,0.8707713376267673,0.7838030450275348,244,72,70,272,0.7953216374269005,0.7721518987341772,0.08161067781992347,0.806060606060606,0.7976190476190477,0.5918401180003982,0.8865546218487395,0.7957920792079207,85,17,15,48,0.7619047619047619,0.8333333333333334
9,0.07962958598198046,0.8328267477203647,0.8319230484372686,0.6647822368609385,0.9003990149607465,0.8322673340748981,293,51,59,255,0.8121019108280255,0.8517441860465116,0.09318777244448302,0.7636363636363637,0.7784780578898226,0.5411845197816276,0.8793962029256146,0.760111835973905,73,29,10,53,0.8412698412698413,0.7156862745098039
10,0.07797153992153773,0.8267477203647416,0.8249487272288576,0.6515320079811834,0.9049110498621898,0.8255729592975668,299,52,62,245,0.7980456026058632,0.8518518518518519,0.09332993388714561,0.793939393939394,0.8060224089635855,0.5952382271719258,0.865079365079365,0.7898561582259515,77,25,9,54,0.8571428571428571,0.7549019607843137
11,0.06466402538618962,0.8647416413373861,0.8646134651818308,0.7293786121285541,0.9434637955732175,0.8646713145799201,292,43,46,277,0.8575851393188855,0.8716417910447761,0.08660724706925362,0.8121212121212121,0.8055555555555556,0.6060395619242064,0.8685029567382508,0.8027305333796135,85,17,14,49,0.7777777777777778,0.8333333333333334
