mode,metric,value
raw@0.5,precision_0,0.8
raw@0.5,recall_0,0.78125
raw@0.5,f1_0,0.7905138339920948
raw@0.5,precision_1,0.654320987654321
raw@0.5,recall_1,0.6794871794871795
raw@0.5,f1_1,0.6666666666666667
raw@0.5,TPR,0.6794871794871795
raw@0.5,TNR,0.78125
raw@0.5,FPR,0.21875
raw@0.5,FNR,0.32051282051282054
raw@0.5,PPV,0.654320987654321
raw@0.5,NPV,0.8
raw@0.5,roc_auc,0.8074919871794872
raw@0.5,pr_auc,0.7582035472868366
uncalibrated@t_opt,precision_0,0.8031496062992126
uncalibrated@t_opt,recall_0,0.796875
uncalibrated@t_opt,f1_0,0.8
uncalibrated@t_opt,precision_1,0.6708860759493671
uncalibrated@t_opt,recall_1,0.6794871794871795
uncalibrated@t_opt,f1_1,0.6751592356687899
uncalibrated@t_opt,TPR,0.6794871794871795
uncalibrated@t_opt,TNR,0.796875
uncalibrated@t_opt,FPR,0.203125
uncalibrated@t_opt,FNR,0.32051282051282054
uncalibrated@t_opt,PPV,0.6708860759493671
uncalibrated@t_opt,NPV,0.8031496062992126
uncalibrated@t_opt,roc_auc,0.8074919871794872
uncalibrated@t_opt,pr_auc,0.7582035472868366
calibrated@t_opt,precision_0,0.8031496062992126
calibrated@t_opt,recall_0,0.796875
calibrated@t_opt,f1_0,0.8
calibrated@t_opt,precision_1,0.6708860759493671
calibrated@t_opt,recall_1,0.6794871794871795
calibrated@t_opt,f1_1,0.6751592356687899
calibrated@t_opt,TPR,0.6794871794871795
calibrated@t_opt,TNR,0.796875
calibrated@t_opt,FPR,0.203125
calibrated@t_opt,FNR,0.32051282051282054
calibrated@t_opt,PPV,0.6708860759493671
calibrated@t_opt,NPV,0.8031496062992126
calibrated@t_opt,roc_auc,0.8074919871794872
calibrated@t_opt,pr_auc,0.7582035472868366
