epoch,tr_loss,tr_acc,tr_bal_acc,tr_mcc,tr_auc,tr_f1_macro,tr_TN,tr_FP,tr_FN,tr_TP,tr_sensitivity,tr_specificity,va_loss,va_acc,va_bal_acc,va_mcc,va_auc,va_f1_macro,va_TN,va_FP,va_FN,va_TP,va_sensitivity,va_specificity
1,0.21237174146385354,0.5022761760242792,0.4974668889506344,-0.005094755623383128,0.4902797073261091,0.49707765616856525,132,173,155,199,0.5621468926553672,0.43278688524590164,0.15862592486891805,0.6036585365853658,0.49794433902593294,-0.007969578620832736,0.650853889943074,0.42734354015578835,95,7,58,4,0.06451612903225806,0.9313725490196079
2,0.20739331465553154,0.5083459787556904,0.5083872215774057,0.016773979612340565,0.514416256747545,0.508344846642719,167,159,165,168,0.5045045045045045,0.5122699386503068,0.16095487955139903,0.4878048780487805,0.5502846299810247,0.11172661073191464,0.6374130297280202,0.48007246376811596,30,72,12,50,0.8064516129032258,0.29411764705882354
3,0.1777557884992072,0.5250379362670713,0.5250345399281569,0.05006954103133112,0.5604586902459243,0.5250335615287017,172,157,156,174,0.5272727272727272,0.5227963525835866,0.29540159162588236,0.45121951219512196,0.5588235294117647,0.219060758921061,0.6328273244781784,0.3949827840629611,12,90,0,62,1.0,0.11764705882352941
4,0.1826723221604797,0.5720789074355084,0.5707067908076553,0.1414619355123953,0.5872265942510899,0.5707256902095577,207,140,142,170,0.5448717948717948,0.5965417867435159,0.25213265303158905,0.4146341463414634,0.5262492093611638,0.11817751686949479,0.6881720430107527,0.3434528773978315,7,95,1,61,0.9838709677419355,0.06862745098039216
5,0.16928008535143102,0.5584218512898331,0.5580700138185168,0.1162933294742107,0.5984523261169967,0.5579291696346448,173,152,139,195,0.5838323353293413,0.5323076923076923,0.11935510231954295,0.6707317073170732,0.6277672359266288,0.2723302047041285,0.7142631246046807,0.6306922435362803,82,20,34,28,0.45161290322580644,0.803921568627451
6,0.17010132976680656,0.590288315629742,0.5897804567826135,0.17967521552972446,0.6211865656509797,0.5897886349803574,206,132,138,183,0.5700934579439252,0.6094674556213018,0.15028842203546225,0.6585365853658537,0.6527514231499052,0.2985046010322867,0.6998734977862112,0.6467148792121865,69,33,23,39,0.6290322580645161,0.6764705882352942
7,0.15305133344408012,0.6039453717754173,0.6007366005330175,0.2021797749246722,0.6441414347053598,0.6008535286377655,170,137,124,228,0.6477272727272727,0.5537459283387622,0.15293270658429076,0.5975609756097561,0.5879190385831752,0.1718101016293493,0.6565464895635674,0.5836282505000769,64,38,28,34,0.5483870967741935,0.6274509803921569
8,0.15441622055968213,0.6054628224582701,0.6047842920353983,0.20977753745529415,0.661121865781711,0.6047994242905119,213,126,134,186,0.58125,0.6283185840707964,0.12638713682933553,0.6585365853658537,0.5895003162555345,0.21902240398545683,0.7117330803289058,0.5824695399163484,89,13,43,19,0.3064516129032258,0.8725490196078431
9,0.12883560011149242,0.6600910470409712,0.6601178962881091,0.3204306424832499,0.7230910933038592,0.6599963147226828,212,118,106,223,0.6778115501519757,0.6424242424242425,0.12233022519205583,0.6890243902439024,0.607685009487666,0.3007514311278337,0.7594876660341555,0.5950617283950617,96,6,45,17,0.27419354838709675,0.9411764705882353
10,0.13456805626523088,0.6585735963581184,0.6582238236540907,0.31659355775743114,0.7252474335108834,0.6582588313385467,227,110,115,207,0.6428571428571429,0.6735905044510386,0.11627842553482368,0.7012195121951219,0.6617647058823529,0.3427383791381786,0.7602783048703353,0.6663760534728276,84,18,31,31,0.5,0.8235294117647058
