Model,Type,Class,Metric,Threshold,CI_lower,CI_upper
Raw ensemble,Overall,NA,Accuracy,0.5,0.7427184466019418,0.8543689320388349
Raw ensemble,Overall,NA,Balanced Accuracy,0.5,0.7089112679955702,0.8318364267412223
Raw ensemble,Overall,NA,F1-macro,0.5,0.7169945070801346,0.8369938609650689
Raw ensemble,Overall,NA,Precision,0.5,0.6817940038684719,0.8769230769230769
Raw ensemble,Overall,NA,Recall (Sensitivity),0.5,0.5443037974683544,0.7534992975061467
Raw ensemble,Overall,NA,Specificity,0.5,0.832,0.9375
Raw ensemble,Overall,NA,ROC AUC,probability,0.8091363261862502,0.9178345679012345
Raw ensemble,Overall,NA,PR AUC,probability,0.7734324386642454,0.9042923939266949
Raw ensemble,Per-class,0,Precision,0.5,0.7398346140995656,0.8714333976833977
Raw ensemble,Per-class,0,Recall,0.5,0.834709116938895,0.9375121124031007
Raw ensemble,Per-class,0,F1,0.5,0.7943182723723006,0.8905589321545933
Raw ensemble,Per-class,1,Precision,0.5,0.6769117647058824,0.8750480769230768
Raw ensemble,Per-class,1,Recall,0.5,0.5384328358208955,0.7662560042697029
Raw ensemble,Per-class,1,F1,0.5,0.6239737704918032,0.7924944506104329
Calibrated ensemble,Overall,NA,Accuracy,0.49025045037269593,0.7378640776699029,0.8543689320388349
Calibrated ensemble,Overall,NA,Balanced Accuracy,0.49025045037269593,0.7128123518833468,0.8242704364134317
Calibrated ensemble,Overall,NA,F1-macro,0.49025045037269593,0.7179656225831457,0.8360672570915159
Calibrated ensemble,Overall,NA,Precision,0.49025045037269593,0.6856766917293233,0.8906670673076923
Calibrated ensemble,Overall,NA,Recall (Sensitivity),0.49025045037269593,0.5521828358208956,0.7541412504765534
Calibrated ensemble,Overall,NA,Specificity,0.49025045037269593,0.8333,0.9440206896551724
Calibrated ensemble,Overall,NA,ROC AUC,probability,0.8068521470868358,0.9137282712693565
Calibrated ensemble,Overall,NA,PR AUC,probability,0.7664507070662842,0.8992044735204475
Calibrated ensemble,Per-class,0,Precision,0.49025045037269593,0.7428571428571429,0.8698790282842219
Calibrated ensemble,Per-class,0,Recall,0.49025045037269593,0.8347808120733021,0.9407407407407408
Calibrated ensemble,Per-class,0,F1,0.49025045037269593,0.8,0.8881124807395994
Calibrated ensemble,Per-class,1,Precision,0.49025045037269593,0.67559412861137,0.8788181818181818
Calibrated ensemble,Per-class,1,Recall,0.49025045037269593,0.5394243421052631,0.7590475827360074
Calibrated ensemble,Per-class,1,F1,0.49025045037269593,0.6176194161875277,0.7916736577181208
