mode,metric,value
raw@0.5,precision_0,0.8260869565217391
raw@0.5,recall_0,0.890625
raw@0.5,f1_0,0.8571428571428571
raw@0.5,precision_1,0.7941176470588235
raw@0.5,recall_1,0.6923076923076923
raw@0.5,f1_1,0.7397260273972601
raw@0.5,TPR,0.6923076923076923
raw@0.5,TNR,0.890625
raw@0.5,FPR,0.109375
raw@0.5,FNR,0.3076923076923077
raw@0.5,PPV,0.7941176470588235
raw@0.5,NPV,0.8260869565217391
raw@0.5,roc_auc,0.8558693910256411
raw@0.5,pr_auc,0.8256691060473169
uncalibrated@t_opt,precision_0,0.8260869565217391
uncalibrated@t_opt,recall_0,0.890625
uncalibrated@t_opt,f1_0,0.8571428571428571
uncalibrated@t_opt,precision_1,0.7941176470588235
uncalibrated@t_opt,recall_1,0.6923076923076923
uncalibrated@t_opt,f1_1,0.7397260273972601
uncalibrated@t_opt,TPR,0.6923076923076923
uncalibrated@t_opt,TNR,0.890625
uncalibrated@t_opt,FPR,0.109375
uncalibrated@t_opt,FNR,0.3076923076923077
uncalibrated@t_opt,PPV,0.7941176470588235
uncalibrated@t_opt,NPV,0.8260869565217391
uncalibrated@t_opt,roc_auc,0.8558693910256411
uncalibrated@t_opt,pr_auc,0.8256691060473169
calibrated@t_opt,precision_0,0.8260869565217391
calibrated@t_opt,recall_0,0.890625
calibrated@t_opt,f1_0,0.8571428571428571
calibrated@t_opt,precision_1,0.7941176470588235
calibrated@t_opt,recall_1,0.6923076923076923
calibrated@t_opt,f1_1,0.7397260273972601
calibrated@t_opt,TPR,0.6923076923076923
calibrated@t_opt,TNR,0.890625
calibrated@t_opt,FPR,0.109375
calibrated@t_opt,FNR,0.3076923076923077
calibrated@t_opt,PPV,0.7941176470588235
calibrated@t_opt,NPV,0.8260869565217391
calibrated@t_opt,roc_auc,0.8558693910256411
calibrated@t_opt,pr_auc,0.8256691060473169
