Model,Type,Class,Metric,Threshold,CI_lower,CI_upper
Raw ensemble,Overall,NA,Accuracy,0.5,0.7038834951456311,0.8252427184466019
Raw ensemble,Overall,NA,Balanced Accuracy,0.5,0.6876307233743889,0.8078960231501489
Raw ensemble,Overall,NA,F1-macro,0.5,0.6840402359522093,0.8076608815167858
Raw ensemble,Overall,NA,Precision,0.5,0.5971793071161049,0.8031352683461116
Raw ensemble,Overall,NA,Recall (Sensitivity),0.5,0.5569268635724332,0.7600140845070422
Raw ensemble,Overall,NA,Specificity,0.5,0.7637795275590551,0.892340425531915
Raw ensemble,Overall,NA,ROC AUC,probability,0.7482670390905019,0.8678670634920636
Raw ensemble,Overall,NA,PR AUC,probability,0.6031350782881965,0.8149203528795074
Raw ensemble,Per-class,0,Precision,0.5,0.7354820936639118,0.873015873015873
Raw ensemble,Per-class,0,Recall,0.5,0.7542305622814097,0.891329431438127
Raw ensemble,Per-class,0,F1,0.5,0.7618571428571428,0.8633175277959451
Raw ensemble,Per-class,1,Precision,0.5,0.5999390243902439,0.797305341055341
Raw ensemble,Per-class,1,Recall,0.5,0.5540488565488566,0.7654823428079242
Raw ensemble,Per-class,1,F1,0.5,0.5972110215053763,0.7564102564102564
Calibrated ensemble,Overall,NA,Accuracy,0.503240567445755,0.6407766990291263,0.7718446601941747
Calibrated ensemble,Overall,NA,Balanced Accuracy,0.503240567445755,0.588202278010034,0.7155717901156942
Calibrated ensemble,Overall,NA,F1-macro,0.503240567445755,0.5846184431001675,0.7325091581776986
Calibrated ensemble,Overall,NA,Precision,0.503240567445755,0.5454545454545454,0.8235294117647058
Calibrated ensemble,Overall,NA,Recall (Sensitivity),0.503240567445755,0.3157894736842105,0.5384868421052631
Calibrated ensemble,Overall,NA,Specificity,0.503240567445755,0.8253869047619047,0.9304497751124438
Calibrated ensemble,Overall,NA,ROC AUC,probability,0.7057092566746421,0.8367137524114269
Calibrated ensemble,Overall,NA,PR AUC,probability,0.5044053532899372,0.7274430057897608
Calibrated ensemble,Per-class,0,Precision,0.503240567445755,0.6414973391388485,0.7826422436929683
Calibrated ensemble,Per-class,0,Recall,0.503240567445755,0.8235180995475113,0.9312977099236641
Calibrated ensemble,Per-class,0,F1,0.503240567445755,0.7394366197183099,0.8387096774193549
Calibrated ensemble,Per-class,1,Precision,0.503240567445755,0.5510204081632653,0.8235294117647058
Calibrated ensemble,Per-class,1,Recall,0.503240567445755,0.3098049837486457,0.5393295387344766
Calibrated ensemble,Per-class,1,F1,0.503240567445755,0.4122137404580153,0.6285714285714286
