mode,metric,value
raw@0.5,precision_0,0.7671232876712328
raw@0.5,recall_0,0.875
raw@0.5,f1_0,0.8175182481751825
raw@0.5,precision_1,0.7333333333333333
raw@0.5,recall_1,0.5641025641025641
raw@0.5,f1_1,0.6376811594202899
raw@0.5,TPR,0.5641025641025641
raw@0.5,TNR,0.875
raw@0.5,FPR,0.125
raw@0.5,FNR,0.4358974358974359
raw@0.5,PPV,0.7333333333333333
raw@0.5,NPV,0.7671232876712328
raw@0.5,roc_auc,0.7475961538461537
raw@0.5,pr_auc,0.6109045459693337
uncalibrated@t_opt,precision_0,0.7516778523489933
uncalibrated@t_opt,recall_0,0.875
uncalibrated@t_opt,f1_0,0.8086642599277979
uncalibrated@t_opt,precision_1,0.7192982456140351
uncalibrated@t_opt,recall_1,0.5256410256410257
uncalibrated@t_opt,f1_1,0.6074074074074075
uncalibrated@t_opt,TPR,0.5256410256410257
uncalibrated@t_opt,TNR,0.875
uncalibrated@t_opt,FPR,0.125
uncalibrated@t_opt,FNR,0.47435897435897434
uncalibrated@t_opt,PPV,0.7192982456140351
uncalibrated@t_opt,NPV,0.7516778523489933
uncalibrated@t_opt,roc_auc,0.7475961538461537
uncalibrated@t_opt,pr_auc,0.6109045459693337
calibrated@t_opt,precision_0,0.7037037037037037
calibrated@t_opt,recall_0,0.890625
calibrated@t_opt,f1_0,0.7862068965517242
calibrated@t_opt,precision_1,0.6818181818181818
calibrated@t_opt,recall_1,0.38461538461538464
calibrated@t_opt,f1_1,0.4918032786885246
calibrated@t_opt,TPR,0.38461538461538464
calibrated@t_opt,TNR,0.890625
calibrated@t_opt,FPR,0.109375
calibrated@t_opt,FNR,0.6153846153846154
calibrated@t_opt,PPV,0.6818181818181818
calibrated@t_opt,NPV,0.7037037037037037
calibrated@t_opt,roc_auc,0.7475961538461537
calibrated@t_opt,pr_auc,0.6109045459693337
