Model,Type,Class,Metric,Threshold,CI_lower,CI_upper
Raw ensemble,Overall,NA,Accuracy,0.5,0.8058252427184466,0.8981796116504853
Raw ensemble,Overall,NA,Balanced Accuracy,0.5,0.5371398370763296,0.7822843822843824
Raw ensemble,Overall,NA,F1-macro,0.5,0.5165383187839148,0.7104679839713767
Raw ensemble,Overall,NA,Precision,0.5,0.10521778584392014,0.42857142857142855
Raw ensemble,Overall,NA,Recall (Sensitivity),0.5,0.18181818181818182,0.6666666666666666
Raw ensemble,Overall,NA,Specificity,0.5,0.8533995845663556,0.9378238341968912
Raw ensemble,Overall,NA,ROC AUC,probability,0.8158496418280574,0.9246809835045129
Raw ensemble,Overall,NA,PR AUC,probability,0.1995978961977081,0.6007979620906506
Raw ensemble,Per-class,0,Precision,0.5,0.9090909090909091,0.9731218733827842
Raw ensemble,Per-class,0,Recall,0.5,0.8473278275475924,0.9354838709677419
Raw ensemble,Per-class,0,F1,0.5,0.8882524637499215,0.9440147757255936
Raw ensemble,Per-class,1,Precision,0.5,0.09988095238095239,0.43333333333333335
Raw ensemble,Per-class,1,Recall,0.5,0.17622549019607844,0.6666666666666666
Raw ensemble,Per-class,1,F1,0.5,0.12893145161290323,0.48789045785194685
Calibrated ensemble,Overall,NA,Accuracy,0.47606738209724425,0.7912621359223301,0.8932038834951457
Calibrated ensemble,Overall,NA,Balanced Accuracy,0.47606738209724425,0.5279273207180322,0.7689587490300409
Calibrated ensemble,Overall,NA,F1-macro,0.47606738209724425,0.5048076923076923,0.6998358990998421
Calibrated ensemble,Overall,NA,Precision,0.47606738209724425,0.0967357910906298,0.3939393939393939
Calibrated ensemble,Overall,NA,Recall (Sensitivity),0.47606738209724425,0.17622549019607844,0.6666666666666666
Calibrated ensemble,Overall,NA,Specificity,0.47606738209724425,0.8324600254704967,0.9247512010981468
Calibrated ensemble,Overall,NA,ROC AUC,probability,0.8091739432927322,0.9266491785111174
Calibrated ensemble,Overall,NA,PR AUC,probability,0.19046883985562077,0.601525228770803
Calibrated ensemble,Per-class,0,Precision,0.47606738209724425,0.910099663556148,0.9761939983093829
Calibrated ensemble,Per-class,0,Recall,0.47606738209724425,0.8369536613272311,0.93048128342246
Calibrated ensemble,Per-class,0,F1,0.47606738209724425,0.8813559322033898,0.9402184500282326
Calibrated ensemble,Per-class,1,Precision,0.47606738209724425,0.08695652173913043,0.4230769230769231
Calibrated ensemble,Per-class,1,Recall,0.47606738209724425,0.18181818181818182,0.6666666666666666
Calibrated ensemble,Per-class,1,F1,0.47606738209724425,0.125,0.48783197831978314
