epoch,tr_loss,tr_accuracy,tr_balanced_accuracy,tr_mcc,tr_auc,tr_f1_macro,tr_f1,tr_precision,tr_recall,tr_sensitivity,tr_specificity,tr_pr_auc,tr_TN,tr_FP,tr_FN,tr_TP,tr_elapsed_time,tr_peak_memory_gb,va_loss,va_accuracy,va_balanced_accuracy,va_mcc,va_auc,va_f1_macro,va_f1,va_precision,va_recall,va_sensitivity,va_specificity,va_pr_auc,va_TN,va_FP,va_FN,va_TP,va_elapsed_time,va_peak_memory_gb
1,1.384994288,0.569044006,0.560319808,0.126325475,0.587951752,0.554517757,0.63496144,0.575757576,0.70773639,0.70773639,0.412903226,0.601905344,128,182,102,247,33.45124626,0.138143063,1.582451833,0.262195122,0.529037188,0.038702014,0.738155884,0.24989605,0.153846154,0.084615385,0.846153846,0.846153846,0.21192053,0.311589663,32,119,2,11,6.914705992,0.16345787
2,1.298823413,0.619119879,0.619362772,0.239182031,0.676269297,0.618835507,0.629246677,0.608571429,0.651376147,0.651376147,0.587349398,0.667019715,195,137,114,213,32.65474176,0.138143063,1.130510414,0.804878049,0.718288334,0.287866942,0.780183393,0.60952381,0.333333333,0.228571429,0.615384615,0.615384615,0.821192053,0.344816495,124,27,5,8,7.294679642,0.16345787
3,1.183168913,0.705614568,0.705586258,0.411468233,0.773975315,0.705499963,0.699690402,0.712933754,0.686930091,0.686930091,0.724242424,0.757132153,239,91,103,226,33.1720531,0.138143063,1.265306127,0.707317073,0.735608762,0.269641658,0.772287315,0.554751131,0.294117647,0.181818182,0.769230769,0.769230769,0.701986755,0.327588446,106,45,3,10,7.240313768,0.16345787
4,1.211160546,0.685887709,0.684934285,0.371039985,0.742608159,0.684947516,0.702158273,0.683473389,0.721893491,0.721893491,0.647975078,0.734063864,208,113,94,244,33.75925398,0.138143063,1.166171619,0.731707317,0.713703515,0.252263752,0.765919511,0.562454523,0.290322581,0.183673469,0.692307692,0.692307692,0.735099338,0.327054425,111,40,4,9,7.139087915,0.16345787
5,1.097205567,0.749620637,0.748625639,0.498161919,0.816176878,0.748871208,0.735152488,0.748366013,0.722397476,0.722397476,0.774853801,0.808514436,265,77,88,229,33.09788752,0.138143063,1.358158602,0.62804878,0.727712685,0.248750763,0.783749363,0.508040325,0.265060241,0.157142857,0.846153846,0.846153846,0.609271523,0.376349432,92,59,2,11,7.056119442,0.16345787
6,1.001186982,0.769347496,0.768451225,0.53690245,0.861460934,0.768451225,0.754045307,0.754045307,0.754045307,0.754045307,0.782857143,0.851081408,274,76,76,233,32.96932673,0.138143063,0.927897677,0.835365854,0.664544065,0.243414335,0.783749363,0.607133351,0.307692308,0.230769231,0.461538462,0.461538462,0.867549669,0.324696915,131,20,7,6,7.431683302,0.16345787
7,0.960582093,0.813353566,0.81301117,0.625935674,0.878297794,0.812965958,0.80445151,0.803174603,0.805732484,0.805732484,0.820289855,0.859067791,283,62,61,253,33.38914251,0.138143063,1.052528749,0.737804878,0.717014773,0.257709146,0.777636271,0.567016639,0.295081967,0.1875,0.692307692,0.692307692,0.741721854,0.353117957,112,39,4,9,6.917697668,0.16345787
8,0.909900946,0.819423369,0.81654184,0.637436529,0.899551549,0.817704011,0.835408022,0.809651475,0.862857143,0.862857143,0.770226537,0.909967282,238,71,48,302,32.96609044,0.138143063,0.833639871,0.87195122,0.649261335,0.258003018,0.811767702,0.625936787,0.322580645,0.277777778,0.384615385,0.384615385,0.913907285,0.367175497,138,13,8,5,7.311120033,0.16345787
9,0.95154422,0.807283763,0.807272945,0.614426978,0.879891795,0.807196747,0.803100775,0.799382716,0.806853583,0.806853583,0.807692308,0.86370984,273,65,62,259,33.16638112,0.138143063,0.939289959,0.847560976,0.776617422,0.38659537,0.793173714,0.665442676,0.418604651,0.3,0.692307692,0.692307692,0.860927152,0.380827654,130,21,4,9,7.278003216,0.16345787
10,0.923272321,0.831562974,0.831564889,0.663129778,0.890655798,0.831562974,0.831562974,0.832826748,0.83030303,0.83030303,0.832826748,0.870310292,274,55,56,274,33.2488513,0.138143063,0.943878665,0.817073171,0.760061131,0.342954665,0.805145186,0.633928571,0.375,0.257142857,0.692307692,0.692307692,0.82781457,0.360811455,125,26,4,9,7.33604002,0.16345787
11,0.851663028,0.855842185,0.856658486,0.712758232,0.921518065,0.855808983,0.853620955,0.831831832,0.876582278,0.876582278,0.836734694,0.89184835,287,56,39,277,33.10647774,0.138143063,0.956260259,0.798780488,0.750127356,0.32031278,0.803616913,0.616903801,0.352941176,0.236842105,0.692307692,0.692307692,0.80794702,0.364038709,122,29,4,9,7.155838728,0.16345787
12,0.82043973,0.861911988,0.862000184,0.723900334,0.937000184,0.86190054,0.860643185,0.854103343,0.867283951,0.867283951,0.856716418,0.930158394,287,48,43,281,33.85318637,0.138143063,0.882412377,0.853658537,0.7447784,0.356632627,0.800050942,0.658333333,0.4,0.296296296,0.615384615,0.615384615,0.874172185,0.363582037,132,19,5,8,7.213399172,0.16345787
13,0.825271504,0.855842185,0.856355706,0.712284581,0.926238957,0.855808983,0.853620955,0.836858006,0.871069182,0.871069182,0.841642229,0.914587315,287,54,41,277,33.58030248,0.138143063,0.870650697,0.87195122,0.789862455,0.428801104,0.819154356,0.694437051,0.461538462,0.346153846,0.692307692,0.692307692,0.887417219,0.41599774,134,17,4,9,6.978540897,0.16345787
