mode,metric,value
raw@0.5,precision_0,0.9395604395604396
raw@0.5,recall_0,0.9047619047619048
raw@0.5,f1_0,0.9218328840970349
raw@0.5,precision_1,0.25
raw@0.5,recall_1,0.35294117647058826
raw@0.5,f1_1,0.2926829268292683
raw@0.5,TPR,0.35294117647058826
raw@0.5,TNR,0.9047619047619048
raw@0.5,FPR,0.09523809523809523
raw@0.5,FNR,0.6470588235294118
raw@0.5,PPV,0.25
raw@0.5,NPV,0.9395604395604396
raw@0.5,roc_auc,0.8571428571428572
raw@0.5,pr_auc,0.3814407436087985
uncalibrated@t_opt,precision_0,0.9745222929936306
uncalibrated@t_opt,recall_0,0.8095238095238095
uncalibrated@t_opt,f1_0,0.884393063583815
uncalibrated@t_opt,precision_1,0.2653061224489796
uncalibrated@t_opt,recall_1,0.7647058823529411
uncalibrated@t_opt,f1_1,0.3939393939393939
uncalibrated@t_opt,TPR,0.7647058823529411
uncalibrated@t_opt,TNR,0.8095238095238095
uncalibrated@t_opt,FPR,0.19047619047619047
uncalibrated@t_opt,FNR,0.23529411764705882
uncalibrated@t_opt,PPV,0.2653061224489796
uncalibrated@t_opt,NPV,0.9745222929936306
uncalibrated@t_opt,roc_auc,0.8571428571428572
uncalibrated@t_opt,pr_auc,0.3814407436087985
calibrated@t_opt,precision_0,0.943502824858757
calibrated@t_opt,recall_0,0.8835978835978836
calibrated@t_opt,f1_0,0.912568306010929
calibrated@t_opt,precision_1,0.2413793103448276
calibrated@t_opt,recall_1,0.4117647058823529
calibrated@t_opt,f1_1,0.3043478260869565
calibrated@t_opt,TPR,0.4117647058823529
calibrated@t_opt,TNR,0.8835978835978836
calibrated@t_opt,FPR,0.1164021164021164
calibrated@t_opt,FNR,0.5882352941176471
calibrated@t_opt,PPV,0.2413793103448276
calibrated@t_opt,NPV,0.943502824858757
calibrated@t_opt,roc_auc,0.8571428571428572
calibrated@t_opt,pr_auc,0.3814407436087985
