Model,Type,Class,Metric,Threshold,CI_lower,CI_upper
Raw ensemble,Overall,NA,Accuracy,0.5,0.8689320388349514,0.9466019417475728
Raw ensemble,Overall,NA,Balanced Accuracy,0.5,0.5261973514650027,0.7394764254385965
Raw ensemble,Overall,NA,F1-macro,0.5,0.531003080219633,0.7700892857142857
Raw ensemble,Overall,NA,Precision,0.5,0.125,0.7692307692307693
Raw ensemble,Overall,NA,Recall (Sensitivity),0.5,0.07692307692307693,0.5
Raw ensemble,Overall,NA,Specificity,0.5,0.9417989417989417,0.9896907216494846
Raw ensemble,Overall,NA,ROC AUC,probability,0.8118421052631579,0.9352872850989565
Raw ensemble,Overall,NA,PR AUC,probability,0.238565219070818,0.665314675505995
Raw ensemble,Per-class,0,Precision,0.5,0.9010287140052355,0.9695469927703431
Raw ensemble,Per-class,0,Recall,0.5,0.9424007991182144,0.9895833333333334
Raw ensemble,Per-class,0,F1,0.5,0.9287504461692434,0.9744930332539107
Raw ensemble,Per-class,1,Precision,0.5,0.16666666666666666,0.8
Raw ensemble,Per-class,1,Recall,0.5,0.08333333333333333,0.5334615384615383
Raw ensemble,Per-class,1,F1,0.5,0.09512987012987013,0.5625400641025641
Calibrated ensemble,Overall,NA,Accuracy,0.2639208689332008,0.8009708737864077,0.8980582524271845
Calibrated ensemble,Overall,NA,Balanced Accuracy,0.2639208689332008,0.5809048049044179,0.8310700669156551
Calibrated ensemble,Overall,NA,F1-macro,0.2639208689332008,0.5552339767371453,0.7406135531135531
Calibrated ensemble,Overall,NA,Precision,0.2639208689332008,0.1499537037037037,0.4482758620689655
Calibrated ensemble,Overall,NA,Recall (Sensitivity),0.2639208689332008,0.285515873015873,0.7777777777777778
Calibrated ensemble,Overall,NA,Specificity,0.2639208689332008,0.8369536613272311,0.9251336898395722
Calibrated ensemble,Overall,NA,ROC AUC,probability,0.8062924018196801,0.9331124993857192
Calibrated ensemble,Overall,NA,PR AUC,probability,0.2492785480410458,0.6775069327616141
Calibrated ensemble,Per-class,0,Precision,0.2639208689332008,0.9216671771833095,0.9831484213169293
Calibrated ensemble,Per-class,0,Recall,0.2639208689332008,0.8324600254704967,0.9255611562882923
Calibrated ensemble,Per-class,0,F1,0.2639208689332008,0.8869911732945209,0.9440074270557028
Calibrated ensemble,Per-class,1,Precision,0.2639208689332008,0.13789184952978056,0.4375381097560975
Calibrated ensemble,Per-class,1,Recall,0.2639208689332008,0.2998529411764706,0.7694444444444443
Calibrated ensemble,Per-class,1,F1,0.2639208689332008,0.19047619047619047,0.5455278592375365
