epoch,tr_loss,tr_accuracy,tr_balanced_accuracy,tr_mcc,tr_auc,tr_f1_macro,tr_f1,tr_precision,tr_recall,tr_sensitivity,tr_specificity,tr_pr_auc,tr_TN,tr_FP,tr_FN,tr_TP,tr_elapsed_time,tr_peak_memory_gb,va_loss,va_accuracy,va_balanced_accuracy,va_mcc,va_auc,va_f1_macro,va_f1,va_precision,va_recall,va_sensitivity,va_specificity,va_pr_auc,va_TN,va_FP,va_FN,va_TP,va_elapsed_time,va_peak_memory_gb
1,2.404945809,0.689969605,0.689667613,0.379258048,0.760169107,0.689622642,0.679245283,0.677115987,0.681388013,0.681388013,0.697947214,0.725424591,238,103,101,216,53.74457335,0.580582619,1.058212966,0.83030303,0.648060549,0.226478911,0.761825922,0.601724138,0.3,0.230769231,0.428571429,0.428571429,0.867549669,0.292178257,131,20,8,6,9.297023535,0.734948158
2,1.490265606,0.761398176,0.761364476,0.522745857,0.853924902,0.76137117,0.758832565,0.76,0.757668712,0.757668712,0.765060241,0.835683302,254,78,79,247,54.32052922,0.580582619,2.049047099,0.666666667,0.655865658,0.181239971,0.740302744,0.51628378,0.246575342,0.152542373,0.642857143,0.642857143,0.668874172,0.28063375,101,50,5,9,9.117019415,0.734948158
3,2.004777658,0.752279635,0.752189741,0.504507685,0.833773745,0.752210386,0.756352765,0.75074184,0.762048193,0.762048193,0.742331288,0.830679346,242,84,79,253,53.85156345,0.580582619,0.992919553,0.842424242,0.751892148,0.363973366,0.883632923,0.659090909,0.409090909,0.3,0.642857143,0.642857143,0.860927152,0.414260748,130,21,5,9,9.178402901,0.734948158
4,1.317409011,0.791793313,0.791928968,0.583687997,0.867111308,0.791754354,0.788906009,0.780487805,0.797507788,0.797507788,0.786350148,0.851052393,265,72,65,256,55.51696467,0.580582619,0.622884442,0.878787879,0.60974456,0.21948912,0.859508042,0.60974456,0.285714286,0.285714286,0.285714286,0.285714286,0.933774834,0.402840918,141,10,10,4,9.10572505,0.734948158
5,1.055025712,0.82218845,0.820110393,0.641806146,0.908480152,0.820747271,0.804674457,0.816949153,0.792763158,0.792763158,0.847457627,0.8890093,300,54,63,241,53.92754316,0.580582619,1.247049981,0.896969697,0.55487228,0.151725274,0.754020814,0.567730005,0.19047619,0.285714286,0.142857143,0.142857143,0.966887417,0.233567323,146,5,12,2,9.353988647,0.734948158
6,0.900263074,0.854103343,0.854146648,0.70826712,0.927623069,0.854101996,0.853658537,0.848484848,0.858895706,0.858895706,0.84939759,0.926164004,282,50,46,280,53.77044129,0.580582619,1.006784943,0.824242424,0.677152318,0.259394566,0.798013245,0.61226805,0.325581395,0.24137931,0.5,0.5,0.854304636,0.292130363,129,22,7,7,9.042527437,0.734948158
7,1.121709355,0.82674772,0.826604555,0.653305731,0.914841208,0.82664522,0.822429907,0.825,0.819875776,0.819875776,0.833333333,0.901898471,280,56,58,264,54.50871539,0.580582619,1.887310324,0.76969697,0.744560076,0.308211631,0.821192053,0.602560852,0.344827586,0.227272727,0.714285714,0.714285714,0.774834437,0.320854522,117,34,4,10,9.098041296,0.734948158
8,0.619233196,0.898176292,0.898083463,0.79631043,0.961313484,0.898136531,0.900149031,0.896142433,0.904191617,0.904191617,0.891975309,0.962138863,289,35,32,302,54.49546885,0.580582619,0.844252396,0.909090909,0.626300851,0.309959686,0.843424787,0.649483076,0.347826087,0.444444444,0.285714286,0.285714286,0.966887417,0.361217375,146,5,10,4,9.244110107,0.734948158
9,0.476273128,0.916413374,0.916420282,0.832821328,0.971307007,0.916408547,0.917043741,0.918429003,0.915662651,0.915662651,0.917177914,0.968651991,299,27,28,304,55.29590511,0.580582619,0.778437244,0.854545455,0.693708609,0.306207789,0.845789972,0.643114636,0.368421053,0.291666667,0.5,0.5,0.887417219,0.336903348,134,17,7,7,9.566442966,0.734948158
10,0.347449648,0.936170213,0.935076066,0.871191615,0.982974819,0.935560592,0.941828255,0.936639118,0.947075209,0.947075209,0.923076923,0.985590284,276,23,19,340,54.51905012,0.580582619,0.807748284,0.842424242,0.654683065,0.244517575,0.848628193,0.613374189,0.315789474,0.25,0.428571429,0.428571429,0.880794702,0.327034969,133,18,8,6,9.356313229,0.734948158
11,0.388106049,0.927051672,0.92717849,0.853977678,0.981591004,0.926954495,0.924290221,0.918495298,0.93015873,0.93015873,0.924198251,0.979065807,317,26,22,293,54.87003279,0.580582619,0.864243354,0.890909091,0.583964049,0.196114639,0.842715232,0.595588235,0.25,0.3,0.214285714,0.214285714,0.953642384,0.319522177,144,7,11,3,9.210484266,0.734948158
12,0.2674049,0.943768997,0.942725865,0.887267764,0.989350062,0.943455429,0.947666195,0.93575419,0.959885387,0.959885387,0.925566343,0.989729879,286,23,14,335,54.50236106,0.580582619,0.765731484,0.878787879,0.577341533,0.165981209,0.850047304,0.582489879,0.230769231,0.25,0.214285714,0.214285714,0.940397351,0.360240333,142,9,11,3,9.276690006,0.734948158
13,0.229453951,0.955927052,0.956004141,0.911869226,0.993021665,0.955914731,0.955177743,0.950769231,0.959627329,0.959627329,0.952380952,0.992630706,320,16,13,309,55.01983619,0.580582619,0.746667126,0.896969697,0.587275307,0.214185625,0.867076632,0.602747486,0.260869565,0.333333333,0.214285714,0.214285714,0.960264901,0.365917729,145,6,11,3,9.285792589,0.734948158
14,0.250977425,0.960486322,0.960662526,0.921120744,0.991002107,0.96048048,0.96,0.951219512,0.968944099,0.968944099,0.952380952,0.988484816,320,16,10,312,54.60522461,0.580582619,0.845209463,0.896969697,0.55487228,0.151725274,0.871097446,0.567730005,0.19047619,0.285714286,0.142857143,0.142857143,0.966887417,0.368505376,146,5,12,2,9.361363888,0.734948158
15,0.222735052,0.960486322,0.960688985,0.920900523,0.992577673,0.960414642,0.958730159,0.952681388,0.96485623,0.96485623,0.956521739,0.989361506,330,15,11,302,54.56634831,0.580582619,0.90683397,0.896969697,0.587275307,0.214185625,0.861873226,0.602747486,0.260869565,0.333333333,0.214285714,0.214285714,0.960264901,0.358125104,145,6,11,3,9.372505426,0.734948158
16,0.226082927,0.954407295,0.954306368,0.908763962,0.993113139,0.954373151,0.955621302,0.95280236,0.958456973,0.958456973,0.950155763,0.993291698,305,16,14,323,54.47105908,0.580582619,0.85873972,0.890909091,0.583964049,0.196114639,0.861873226,0.595588235,0.25,0.3,0.214285714,0.214285714,0.953642384,0.357148246,144,7,11,3,9.27373147,0.734948158
17,0.177205372,0.968085106,0.968210361,0.935542555,0.995631494,0.967750744,0.964467005,0.95959596,0.969387755,0.969387755,0.967032967,0.994140645,352,12,9,285,54.1610229,0.580582619,0.784158487,0.903030303,0.590586566,0.235045241,0.876064333,0.61038961,0.272727273,0.375,0.214285714,0.214285714,0.966887417,0.38991084,146,5,11,3,9.272576332,0.734948158
18,0.280487402,0.951367781,0.951414008,0.902644327,0.988524196,0.951313356,0.952941176,0.955752212,0.950146628,0.950146628,0.952681388,0.984894481,302,15,17,324,54.68937778,0.580582619,0.827073759,0.903030303,0.590586566,0.235045241,0.87653737,0.61038961,0.272727273,0.375,0.214285714,0.214285714,0.966887417,0.383695271,146,5,11,3,9.48314476,0.734948158
19,0.176871746,0.97112462,0.971236626,0.942251093,0.995917367,0.971105333,0.970358814,0.965838509,0.97492163,0.97492163,0.967551622,0.99560808,328,11,8,311,54.85176182,0.580582619,0.761655181,0.890909091,0.583964049,0.196114639,0.874172185,0.595588235,0.25,0.3,0.214285714,0.214285714,0.953642384,0.392442778,144,7,11,3,9.355020285,0.734948158
20,0.134698566,0.980243161,0.980208863,0.960475424,0.998022273,0.980235446,0.979844961,0.98136646,0.978328173,0.978328173,0.982089552,0.998039293,329,6,7,316,54.46345568,0.580582619,0.750454163,0.884848485,0.580652791,0.180196016,0.877956481,0.588852459,0.24,0.272727273,0.214285714,0.214285714,0.947019868,0.40147306,143,8,11,3,9.239930868,0.734948158
21,0.137369913,0.972644377,0.972619081,0.945238161,0.997614226,0.972619081,0.973451327,0.973451327,0.973451327,0.973451327,0.971786834,0.997728729,310,9,9,330,54.44181776,0.580582619,0.767326323,0.903030303,0.590586566,0.235045241,0.878902554,0.61038961,0.272727273,0.375,0.214285714,0.214285714,0.966887417,0.399453911,146,5,11,3,9.245093584,0.734948158
22,0.20881919,0.96656535,0.966373891,0.933127459,0.993283099,0.966527932,0.967647059,0.961988304,0.973372781,0.973372781,0.959375,0.992961556,307,13,9,329,54.34218168,0.580582619,0.77440699,0.890909091,0.583964049,0.196114639,0.873699149,0.595588235,0.25,0.3,0.214285714,0.214285714,0.953642384,0.391644364,144,7,11,3,9.288683414,0.734948158
23,0.15002558,0.977203647,0.977394601,0.954502435,0.996186206,0.977194746,0.976744186,0.969230769,0.984375,0.984375,0.970414201,0.994688298,328,10,5,315,54.39374518,0.580582619,0.815537465,0.903030303,0.590586566,0.235045241,0.87038789,0.61038961,0.272727273,0.375,0.214285714,0.214285714,0.966887417,0.388808497,146,5,11,3,9.225400448,0.734948158
