mode,metric,value
raw@0.5,precision_0,0.9411764705882353
raw@0.5,recall_0,0.9312169312169312
raw@0.5,f1_0,0.9361702127659575
raw@0.5,precision_1,0.3157894736842105
raw@0.5,recall_1,0.35294117647058826
raw@0.5,f1_1,0.33333333333333337
raw@0.5,TPR,0.35294117647058826
raw@0.5,TNR,0.9312169312169312
raw@0.5,FPR,0.06878306878306878
raw@0.5,FNR,0.6470588235294118
raw@0.5,PPV,0.3157894736842105
raw@0.5,NPV,0.9411764705882353
raw@0.5,roc_auc,0.8639900404606287
raw@0.5,pr_auc,0.4293458428306757
uncalibrated@t_opt,precision_0,0.9526627218934911
uncalibrated@t_opt,recall_0,0.8518518518518519
uncalibrated@t_opt,f1_0,0.8994413407821229
uncalibrated@t_opt,precision_1,0.24324324324324326
uncalibrated@t_opt,recall_1,0.5294117647058824
uncalibrated@t_opt,f1_1,0.33333333333333337
uncalibrated@t_opt,TPR,0.5294117647058824
uncalibrated@t_opt,TNR,0.8518518518518519
uncalibrated@t_opt,FPR,0.14814814814814814
uncalibrated@t_opt,FNR,0.47058823529411764
uncalibrated@t_opt,PPV,0.24324324324324326
uncalibrated@t_opt,NPV,0.9526627218934911
uncalibrated@t_opt,roc_auc,0.8639900404606287
uncalibrated@t_opt,pr_auc,0.4293458428306757
calibrated@t_opt,precision_0,0.9482758620689655
calibrated@t_opt,recall_0,0.873015873015873
calibrated@t_opt,f1_0,0.9090909090909091
calibrated@t_opt,precision_1,0.25
calibrated@t_opt,recall_1,0.47058823529411764
calibrated@t_opt,f1_1,0.32653061224489793
calibrated@t_opt,TPR,0.47058823529411764
calibrated@t_opt,TNR,0.873015873015873
calibrated@t_opt,FPR,0.12698412698412698
calibrated@t_opt,FNR,0.5294117647058824
calibrated@t_opt,PPV,0.25
calibrated@t_opt,NPV,0.9482758620689655
calibrated@t_opt,roc_auc,0.8639900404606287
calibrated@t_opt,pr_auc,0.4293458428306757
