epoch,tr_loss,tr_accuracy,tr_balanced_accuracy,tr_mcc,tr_auc,tr_f1_macro,tr_f1,tr_precision,tr_recall,tr_sensitivity,tr_specificity,tr_pr_auc,tr_TN,tr_FP,tr_FN,tr_TP,tr_elapsed_time,tr_peak_memory_gb,va_loss,va_accuracy,va_balanced_accuracy,va_mcc,va_auc,va_f1_macro,va_f1,va_precision,va_recall,va_sensitivity,va_specificity,va_pr_auc,va_TN,va_FP,va_FN,va_TP,va_elapsed_time,va_peak_memory_gb
1,1.609440664,0.61550152,0.614358946,0.229051947,0.648951625,0.614410558,0.634920635,0.626780627,0.643274854,0.643274854,0.585443038,0.658113879,185,131,122,220,40.79925609,1.568955421,0.643962948,0.872727273,0.671239357,0.298973604,0.821901608,0.646464646,0.363636364,0.315789474,0.428571429,0.428571429,0.913907285,0.342375647,138,13,8,6,7.737226009,1.903470516
2,1.260808872,0.70668693,0.706065657,0.412072171,0.770597768,0.706034449,0.71988389,0.720930233,0.71884058,0.71884058,0.693290735,0.770761575,217,96,97,248,40.85596275,1.568955421,1.402766383,0.666666667,0.817880795,0.359158886,0.857379376,0.557338666,0.337349398,0.202898551,1,1,0.635761589,0.377062338,96,55,0,14,7.993662596,1.903470516
3,1.12567309,0.761398176,0.761038829,0.522244295,0.823545186,0.761106293,0.769456681,0.766081871,0.772861357,0.772861357,0.749216301,0.826551034,239,80,77,262,40.73740792,1.568955421,0.789825365,0.824242424,0.7743614,0.374024283,0.851229896,0.652480209,0.408163265,0.285714286,0.714285714,0.714285714,0.834437086,0.423487051,126,25,4,10,7.8387115,1.903470516
4,0.814361731,0.814589666,0.812912495,0.62757262,0.90419911,0.813512861,0.827683616,0.813888889,0.841954023,0.841954023,0.783870968,0.910801885,243,67,55,293,43.56859064,1.444863796,0.63397955,0.866666667,0.765137181,0.405563672,0.892620624,0.687068966,0.45,0.346153846,0.642857143,0.642857143,0.887417219,0.462940019,134,17,5,9,7.705694914,1.780766487
5,0.765219609,0.841945289,0.84201336,0.684127857,0.919385238,0.841939448,0.842900302,0.832835821,0.853211009,0.853211009,0.83081571,0.910086553,275,56,48,279,43.06037116,1.444863796,0.689800773,0.921212121,0.632923368,0.367541396,0.843661306,0.669440592,0.380952381,0.571428571,0.285714286,0.285714286,0.98013245,0.369734278,148,3,10,4,7.836433411,1.781224728
6,0.7205399,0.844984802,0.844254854,0.688994943,0.93110827,0.844466073,0.853448276,0.848571429,0.858381503,0.858381503,0.830128205,0.937121482,259,53,49,297,40.64553547,1.44431448,0.591641377,0.909090909,0.723509934,0.43329937,0.848155156,0.716462367,0.482758621,0.466666667,0.5,0.5,0.947019868,0.514439628,143,8,7,7,7.714018822,1.781224728
7,0.387963851,0.927051672,0.926966967,0.854123366,0.97971818,0.927027402,0.925696594,0.931464174,0.92,0.92,0.933933934,0.979674308,311,22,26,299,42.7476387,1.444863796,0.56384861,0.909090909,0.658703879,0.354579257,0.85359508,0.675409836,0.4,0.454545455,0.357142857,0.357142857,0.960264901,0.396058265,145,6,9,5,7.61054039,1.781224728
8,0.531025763,0.904255319,0.903494624,0.807794598,0.96344086,0.903844682,0.910128388,0.90368272,0.916666667,0.916666667,0.890322581,0.967413207,276,34,29,319,40.434026,1.44431448,1.836115407,0.666666667,0.688268685,0.217359682,0.766556291,0.525490196,0.266666667,0.163934426,0.714285714,0.714285714,0.662251656,0.280781685,100,51,4,10,7.553964138,1.781224728
9,0.423244884,0.925531915,0.925231873,0.850955698,0.976234731,0.925424262,0.928257687,0.921511628,0.935103245,0.935103245,0.915360502,0.978239522,292,27,22,317,40.4517312,1.44431448,0.837366506,0.878787879,0.706953642,0.353391877,0.838221381,0.672098569,0.411764706,0.35,0.5,0.5,0.913907285,0.340317564,138,13,7,7,7.677867651,1.781224728
10,0.409325088,0.924012158,0.923953916,0.848142944,0.977581603,0.923994603,0.925149701,0.916913947,0.933534743,0.933534743,0.914373089,0.974950217,299,28,22,309,40.87899566,1.44431448,0.607061161,0.903030303,0.590586566,0.235045241,0.864474929,0.61038961,0.272727273,0.375,0.214285714,0.214285714,0.966887417,0.385089361,146,5,11,3,7.643566847,1.781224728
11,0.178143622,0.968085106,0.968072685,0.935993601,0.996701168,0.967994552,0.96969697,0.971098266,0.968299712,0.968299712,0.967845659,0.997235487,301,10,11,336,40.54511881,1.44431448,0.670781854,0.915151515,0.597209082,0.289411073,0.86731315,0.627419355,0.3,0.5,0.214285714,0.214285714,0.98013245,0.402713513,148,3,11,3,7.471492529,1.781224728
12,0.182360424,0.968085106,0.96799852,0.936096612,0.995417129,0.968046065,0.966929134,0.968454259,0.965408805,0.965408805,0.970588235,0.995527427,330,10,11,307,40.24171662,1.44431448,0.762302167,0.915151515,0.564806055,0.234830843,0.883632923,0.588675214,0.222222222,0.5,0.142857143,0.142857143,0.986754967,0.446132804,149,2,12,2,7.572266817,1.781224728
13,0.130220798,0.974164134,0.974037919,0.948325715,0.997846123,0.974142574,0.973395931,0.977987421,0.968847352,0.968847352,0.979228487,0.99795295,330,7,10,311,40.32357001,1.44431448,0.659794057,0.921212121,0.600520341,0.326807071,0.835619678,0.636994415,0.315789474,0.6,0.214285714,0.214285714,0.986754967,0.352934649,149,2,11,3,7.635006905,1.781224728
