mode,metric,value
raw@0.5,precision_0,0.9346733668341709
raw@0.5,recall_0,0.9841269841269841
raw@0.5,f1_0,0.9587628865979382
raw@0.5,precision_1,0.5714285714285714
raw@0.5,recall_1,0.23529411764705882
raw@0.5,f1_1,0.3333333333333333
raw@0.5,TPR,0.23529411764705882
raw@0.5,TNR,0.9841269841269841
raw@0.5,FPR,0.015873015873015872
raw@0.5,FNR,0.7647058823529411
raw@0.5,PPV,0.5714285714285714
raw@0.5,NPV,0.9346733668341709
raw@0.5,roc_auc,0.8923124805477747
raw@0.5,pr_auc,0.5100678366390714
uncalibrated@t_opt,precision_0,0.9685534591194969
uncalibrated@t_opt,recall_0,0.8148148148148148
uncalibrated@t_opt,f1_0,0.8850574712643678
uncalibrated@t_opt,precision_1,0.2553191489361702
uncalibrated@t_opt,recall_1,0.7058823529411765
uncalibrated@t_opt,f1_1,0.37499999999999994
uncalibrated@t_opt,TPR,0.7058823529411765
uncalibrated@t_opt,TNR,0.8148148148148148
uncalibrated@t_opt,FPR,0.18518518518518517
uncalibrated@t_opt,FNR,0.29411764705882354
uncalibrated@t_opt,PPV,0.2553191489361702
uncalibrated@t_opt,NPV,0.9685534591194969
uncalibrated@t_opt,roc_auc,0.8923124805477747
uncalibrated@t_opt,pr_auc,0.5100678366390714
calibrated@t_opt,precision_0,0.9518716577540107
calibrated@t_opt,recall_0,0.9417989417989417
calibrated@t_opt,f1_0,0.9468085106382979
calibrated@t_opt,precision_1,0.42105263157894735
calibrated@t_opt,recall_1,0.47058823529411764
calibrated@t_opt,f1_1,0.4444444444444444
calibrated@t_opt,TPR,0.47058823529411764
calibrated@t_opt,TNR,0.9417989417989417
calibrated@t_opt,FPR,0.0582010582010582
calibrated@t_opt,FNR,0.5294117647058824
calibrated@t_opt,PPV,0.42105263157894735
calibrated@t_opt,NPV,0.9518716577540107
calibrated@t_opt,roc_auc,0.8923124805477747
calibrated@t_opt,pr_auc,0.5100678366390714
