Model,Type,Class,Metric,Threshold,CI_lower,CI_upper
Raw ensemble,Overall,NA,Accuracy,0.5,0.8786407766990292,0.9514563106796117
Raw ensemble,Overall,NA,Balanced Accuracy,0.5,0.5,0.5
Raw ensemble,Overall,NA,F1-macro,0.5,0.46770025839793283,0.48756218905472637
Raw ensemble,Overall,NA,Precision,0.5,0.0,0.0
Raw ensemble,Overall,NA,Recall (Sensitivity),0.5,0.0,0.0
Raw ensemble,Overall,NA,Specificity,0.5,1.0,1.0
Raw ensemble,Overall,NA,ROC AUC,probability,0.7896778711484593,0.9581849751073613
Raw ensemble,Overall,NA,PR AUC,probability,0.2623750349892539,0.7219481799135059
Raw ensemble,Per-class,0,Precision,0.5,0.8737864077669902,0.9514563106796117
Raw ensemble,Per-class,0,Recall,0.5,1.0,1.0
Raw ensemble,Per-class,0,F1,0.5,0.9354005167958657,0.9776674937965261
Raw ensemble,Per-class,1,Precision,0.5,0.0,0.0
Raw ensemble,Per-class,1,Recall,0.5,0.0,0.0
Raw ensemble,Per-class,1,F1,0.5,0.0,0.0
Calibrated ensemble,Overall,NA,Accuracy,0.3124338060617447,0.048422330097087386,0.12148058252427174
Calibrated ensemble,Overall,NA,Balanced Accuracy,0.3124338060617447,0.5,0.5
Calibrated ensemble,Overall,NA,F1-macro,0.3124338060617447,0.046296296296296294,0.10822510822510822
Calibrated ensemble,Overall,NA,Precision,0.3124338060617447,0.04854368932038835,0.12135922330097088
Calibrated ensemble,Overall,NA,Recall (Sensitivity),0.3124338060617447,1.0,1.0
Calibrated ensemble,Overall,NA,Specificity,0.3124338060617447,0.0,0.0
Calibrated ensemble,Overall,NA,ROC AUC,probability,0.8229899428212698,0.9520118968465044
Calibrated ensemble,Overall,NA,PR AUC,probability,0.2596206179987564,0.7161897747129757
Calibrated ensemble,Per-class,0,Precision,0.3124338060617447,0.0,0.0
Calibrated ensemble,Per-class,0,Recall,0.3124338060617447,0.0,0.0
Calibrated ensemble,Per-class,0,F1,0.3124338060617447,0.0,0.0
Calibrated ensemble,Per-class,1,Precision,0.3124338060617447,0.04854368932038835,0.12148058252427174
Calibrated ensemble,Per-class,1,Recall,0.3124338060617447,1.0,1.0
Calibrated ensemble,Per-class,1,F1,0.3124338060617447,0.08372093023255814,0.21645021645021645
