mode,metric,value
raw@0.5,precision_0,0.93
raw@0.5,recall_0,0.9841269841269841
raw@0.5,f1_0,0.9562982005141387
raw@0.5,precision_1,0.5
raw@0.5,recall_1,0.17647058823529413
raw@0.5,f1_1,0.2608695652173913
raw@0.5,TPR,0.17647058823529413
raw@0.5,TNR,0.9841269841269841
raw@0.5,FPR,0.015873015873015872
raw@0.5,FNR,0.8235294117647058
raw@0.5,PPV,0.5
raw@0.5,NPV,0.93
raw@0.5,roc_auc,0.8773731714908185
raw@0.5,pr_auc,0.4075316743874164
uncalibrated@t_opt,precision_0,0.987012987012987
uncalibrated@t_opt,recall_0,0.8042328042328042
uncalibrated@t_opt,f1_0,0.8862973760932944
uncalibrated@t_opt,precision_1,0.28846153846153844
uncalibrated@t_opt,recall_1,0.8823529411764706
uncalibrated@t_opt,f1_1,0.4347826086956522
uncalibrated@t_opt,TPR,0.8823529411764706
uncalibrated@t_opt,TNR,0.8042328042328042
uncalibrated@t_opt,FPR,0.19576719576719576
uncalibrated@t_opt,FNR,0.11764705882352941
uncalibrated@t_opt,PPV,0.28846153846153844
uncalibrated@t_opt,NPV,0.987012987012987
uncalibrated@t_opt,roc_auc,0.8773731714908185
uncalibrated@t_opt,pr_auc,0.4075316743874164
calibrated@t_opt,precision_0,1.0
calibrated@t_opt,recall_0,0.1164021164021164
calibrated@t_opt,f1_0,0.2085308056872038
calibrated@t_opt,precision_1,0.09239130434782608
calibrated@t_opt,recall_1,1.0
calibrated@t_opt,f1_1,0.16915422885572137
calibrated@t_opt,TPR,1.0
calibrated@t_opt,TNR,0.1164021164021164
calibrated@t_opt,FPR,0.8835978835978836
calibrated@t_opt,FNR,0.0
calibrated@t_opt,PPV,0.09239130434782608
calibrated@t_opt,NPV,1.0
calibrated@t_opt,roc_auc,0.8773731714908186
calibrated@t_opt,pr_auc,0.40753167438741644
