epoch,train_loss,val_dice,best_dice_so_far,best_epoch_so_far,epochs_no_improve,epoch_time_sec
1,0.726441653072834,0.0,0.0,1,0,45.29081416130066
2,0.6566358640789985,0.0,0.0,1,1,17.72413945198059
3,0.6334348127245903,0.028790632262825966,0.028790632262825966,3,0,17.934149265289307
4,0.6097477734088897,0.5318496227264404,0.5318496227264404,4,0,17.9595627784729
5,0.594842155277729,0.5500491857528687,0.5500491857528687,5,0,18.2415189743042
6,0.5687294512987137,0.584743082523346,0.584743082523346,6,0,17.97368049621582
7,0.5487788617610931,0.5605357885360718,0.584743082523346,6,1,17.76854395866394
8,0.5332804158329963,0.6118085384368896,0.6118085384368896,8,0,18.003193378448486
9,0.5209447927772999,0.6350067853927612,0.6350067853927612,9,0,17.96424388885498
10,0.5034421756863594,0.6201831698417664,0.6350067853927612,9,1,17.741650819778442
11,0.48579902574419975,0.6924996972084045,0.6924996972084045,11,0,17.978031635284424
12,0.47068016454577444,0.5482574701309204,0.6924996972084045,11,1,17.756577491760254
13,0.4651462011039257,0.6919624209403992,0.6924996972084045,11,2,17.74756169319153
14,0.44329858347773554,0.6814967393875122,0.6924996972084045,11,3,17.729563236236572
15,0.4312380664050579,0.7229613065719604,0.7229613065719604,15,0,18.218679666519165
16,0.4144672192633152,0.697006106376648,0.7229613065719604,15,1,17.772642135620117
17,0.39695487916469574,0.7105906009674072,0.7229613065719604,15,2,17.76918625831604
18,0.37735549360513687,0.5894840359687805,0.7229613065719604,15,3,17.72064757347107
19,0.36589697152376177,0.71283358335495,0.7229613065719604,15,4,17.782373905181885
20,0.35209014639258385,0.6598213911056519,0.7229613065719604,15,5,17.6903018951416
21,0.3337247554212809,0.7090961337089539,0.7229613065719604,15,6,17.73692560195923
22,0.31431050077080724,0.7543383240699768,0.7543383240699768,22,0,17.923528909683228
23,0.2998791117221117,0.7531582117080688,0.7543383240699768,22,1,17.758135080337524
24,0.28948956578969953,0.6470649242401123,0.7543383240699768,22,2,17.79494595527649
25,0.27257581539452075,0.7710984945297241,0.7710984945297241,25,0,17.925308227539062
26,0.2590705219656229,0.7676101326942444,0.7710984945297241,25,1,18.059284925460815
27,0.24647085443139077,0.7285465002059937,0.7710984945297241,25,2,17.743731021881104
28,0.2352694995701313,0.7639273405075073,0.7710984945297241,25,3,17.703473806381226
29,0.2172722801566124,0.7940672039985657,0.7940672039985657,29,0,17.96884250640869
30,0.20724370293319225,0.787380576133728,0.7940672039985657,29,1,17.746681690216064
31,0.19694147817790508,0.7682697772979736,0.7940672039985657,29,2,17.653117656707764
32,0.1838976124301553,0.7929651737213135,0.7940672039985657,29,3,17.75229573249817
33,0.17528590485453605,0.8089088201522827,0.8089088201522827,33,0,18.037378311157227
34,0.17407342083752156,0.7922970056533813,0.8089088201522827,33,1,17.759187698364258
35,0.17731414195150136,0.7854431867599487,0.8089088201522827,33,2,17.736966848373413
36,0.16725542303174734,0.8074650764465332,0.8089088201522827,33,3,17.72144341468811
37,0.1606506422162056,0.7976313829421997,0.8089088201522827,33,4,17.791298389434814
38,0.1584211688488722,0.8018490076065063,0.8089088201522827,33,5,17.740262746810913
39,0.14633973855525256,0.8094579577445984,0.8094579577445984,39,0,18.190714836120605
40,0.13554959390312432,0.8116371035575867,0.8116371035575867,40,0,17.9052517414093
41,0.13079607728868722,0.8029348254203796,0.8116371035575867,40,1,17.769334077835083
42,0.14795449580997228,0.7451971173286438,0.8116371035575867,40,2,17.639187812805176
43,0.15854745507240295,0.7958692312240601,0.8116371035575867,40,3,17.691909074783325
44,0.13966048490256072,0.8094487190246582,0.8116371035575867,40,4,17.691463947296143
45,0.12762440480291842,0.7952550649642944,0.8116371035575867,40,5,17.752462148666382
46,0.1216426894068718,0.8087041974067688,0.8116371035575867,40,6,17.717063903808594
47,0.11846738010644912,0.819999098777771,0.819999098777771,47,0,18.342716932296753
48,0.11730585284531117,0.798916220664978,0.819999098777771,47,1,17.757564067840576
49,0.1190151859074831,0.8261055946350098,0.8261055946350098,49,0,17.907052755355835
50,0.12639594525098802,0.8039129972457886,0.8261055946350098,49,1,17.757380723953247
51,0.11349380780011416,0.826214611530304,0.826214611530304,51,0,17.94089984893799
52,0.11169356498867274,0.8237082362174988,0.826214611530304,51,1,17.725715160369873
53,0.10706766471266746,0.8270463943481445,0.8270463943481445,53,0,18.006699800491333
54,0.10619376860558986,0.8017393350601196,0.8270463943481445,53,1,17.70439100265503
55,0.10630556326359511,0.816830039024353,0.8270463943481445,53,2,17.70860457420349
56,0.09852486327290536,0.8266267776489258,0.8270463943481445,53,3,17.746562480926514
57,0.09965895833447576,0.8145638704299927,0.8270463943481445,53,4,17.763148546218872
58,0.09693261282518506,0.8255057334899902,0.8270463943481445,53,5,17.76806402206421
59,0.09371437514200806,0.8194060325622559,0.8270463943481445,53,6,17.75537657737732
60,0.09683605507016183,0.8275373578071594,0.8275373578071594,60,0,17.90911102294922
61,0.10350716030225157,0.8031570315361023,0.8275373578071594,60,1,17.747063159942627
62,0.10230829324573279,0.8001021146774292,0.8275373578071594,60,2,17.721903324127197
63,0.09491015281528234,0.8137075304985046,0.8275373578071594,60,3,17.723825931549072
64,0.10081806471571327,0.8193354606628418,0.8275373578071594,60,4,17.75651526451111
65,0.09822719963267446,0.802385687828064,0.8275373578071594,60,5,17.77765440940857
66,0.10015944698825478,0.8380185961723328,0.8380185961723328,66,0,17.944550275802612
67,0.09302625693380832,0.8317252993583679,0.8380185961723328,66,1,17.87250542640686
68,0.09279967164620757,0.8121574521064758,0.8380185961723328,66,2,17.721688508987427
69,0.09257671805098652,0.8289596438407898,0.8380185961723328,66,3,18.190871477127075
70,0.08820961331948637,0.82227623462677,0.8380185961723328,66,4,17.773809671401978
71,0.09032728616148233,0.8397442698478699,0.8397442698478699,71,0,17.932324647903442
72,0.0906564780510962,0.8260625004768372,0.8397442698478699,71,1,17.72807240486145
73,0.09002042133361102,0.8245892524719238,0.8397442698478699,71,2,17.72661519050598
74,0.08522812584415078,0.8268720507621765,0.8397442698478699,71,3,17.72023916244507
75,0.08443458033725619,0.8372659683227539,0.8397442698478699,71,4,17.74219584465027
76,0.08332082256674767,0.8341184854507446,0.8397442698478699,71,5,17.683337450027466
77,0.08042444232851267,0.8218561410903931,0.8397442698478699,71,6,17.75887894630432
78,0.07931792568415404,0.8363987803459167,0.8397442698478699,71,7,17.64299702644348
79,0.0797074225731194,0.8403958082199097,0.8403958082199097,79,0,17.86663007736206
80,0.07943630358204246,0.8144494891166687,0.8403958082199097,79,1,17.73635196685791
81,0.08576866257935763,0.8351156115531921,0.8403958082199097,79,2,17.724421977996826
82,0.08446065532043576,0.8240560293197632,0.8403958082199097,79,3,17.746662855148315
83,0.08367239804938435,0.836793065071106,0.8403958082199097,79,4,17.73635244369507
84,0.08781865201890468,0.8349059820175171,0.8403958082199097,79,5,17.64458656311035
85,0.08199906460940838,0.8126686811447144,0.8403958082199097,79,6,17.74071168899536
86,0.07947584446519614,0.8345321416854858,0.8403958082199097,79,7,17.767229557037354
87,0.07635389091446995,0.827855110168457,0.8403958082199097,79,8,17.719181299209595
88,0.08091137800365686,0.8107117414474487,0.8403958082199097,79,9,17.68323040008545
89,0.07977634873241186,0.8237417340278625,0.8403958082199097,79,10,17.981483459472656
90,0.07633196162059903,0.8417184948921204,0.8417184948921204,90,0,17.932103157043457
91,0.0729099802672863,0.8413906097412109,0.8417184948921204,90,1,17.64657187461853
92,0.07603160245344043,0.8452978134155273,0.8452978134155273,92,0,17.929688453674316
93,0.08179892404004932,0.844268798828125,0.8452978134155273,92,1,17.63830018043518
94,0.07426350219175219,0.8458477854728699,0.8458477854728699,94,0,17.950861930847168
95,0.07522469628602266,0.8516782522201538,0.8516782522201538,95,0,17.950904369354248
96,0.07529930677264929,0.8375667333602905,0.8516782522201538,95,1,17.756419897079468
97,0.0743375550955534,0.8476928472518921,0.8516782522201538,95,2,17.737902402877808
98,0.07260266775265337,0.8510950803756714,0.8516782522201538,95,3,17.720603942871094
99,0.07547181658446789,0.8426944017410278,0.8516782522201538,95,4,17.744263410568237
100,0.07295422628521919,0.8449615240097046,0.8516782522201538,95,5,18.12311339378357
101,0.07158597614616155,0.8403595089912415,0.8516782522201538,95,6,17.788832187652588
102,0.08503223629668355,0.8102720379829407,0.8516782522201538,95,7,17.709279775619507
103,0.08291255533695222,0.8186312913894653,0.8516782522201538,95,8,17.709270238876343
104,0.07925524516031146,0.8154195547103882,0.8516782522201538,95,9,17.70057964324951
105,0.08254029229283333,0.8191450834274292,0.8516782522201538,95,10,17.755231142044067
106,0.08074576798826456,0.8310753107070923,0.8516782522201538,95,11,17.645145177841187
107,0.0724980978295207,0.8415737152099609,0.8516782522201538,95,12,17.636279821395874
108,0.07109089456498623,0.8315283060073853,0.8516782522201538,95,13,17.735992431640625
109,0.06998049141839147,0.8416911959648132,0.8516782522201538,95,14,17.750766277313232
110,0.07003127485513687,0.8444908857345581,0.8516782522201538,95,15,17.98596501350403
111,0.0727454881183803,0.8289926648139954,0.8516782522201538,95,16,17.722272396087646
112,0.07694186931475996,0.8277044296264648,0.8516782522201538,95,17,17.66766357421875
113,0.07741463743150234,0.835545539855957,0.8516782522201538,95,18,17.72767949104309
114,0.0882967340759933,0.8122068643569946,0.8516782522201538,95,19,17.67899751663208
115,0.08664590334519744,0.8058820962905884,0.8516782522201538,95,20,17.733845949172974
116,0.0827649338170886,0.8250113725662231,0.8516782522201538,95,21,17.711065769195557
117,0.07589432913810015,0.8489073514938354,0.8516782522201538,95,22,17.771095991134644
118,0.07064855983480811,0.8437432050704956,0.8516782522201538,95,23,17.751625537872314
119,0.07063799621537328,0.8335903882980347,0.8516782522201538,95,24,17.722482204437256
120,0.06952991774305702,0.8311567306518555,0.8516782522201538,95,25,17.694352626800537
121,0.06794948428869248,0.8554719090461731,0.8554719090461731,121,0,18.002806186676025
122,0.0667005275376141,0.8409415483474731,0.8554719090461731,121,1,17.67546820640564
123,0.06510080303996801,0.8430773019790649,0.8554719090461731,121,2,17.718755960464478
124,0.06587188020348549,0.8381215333938599,0.8554719090461731,121,3,17.74167227745056
125,0.06682328442111611,0.8425775766372681,0.8554719090461731,121,4,17.869364261627197
126,0.06584508353844284,0.8372945785522461,0.8554719090461731,121,5,17.70332384109497
127,0.06548593062907457,0.8473597764968872,0.8554719090461731,121,6,17.735678911209106
128,0.06460295887663961,0.8447508811950684,0.8554719090461731,121,7,17.672157526016235
129,0.0663769818842411,0.8498631715774536,0.8554719090461731,121,8,17.63782835006714
130,0.06443063290789723,0.8396350145339966,0.8554719090461731,121,9,17.76059341430664
131,0.06490300092846155,0.8476365804672241,0.8554719090461731,121,10,17.971431970596313
132,0.06307078264653683,0.8491896390914917,0.8554719090461731,121,11,17.710824012756348
133,0.06252674292773008,0.8400203585624695,0.8554719090461731,121,12,17.73363733291626
134,0.06711209015920758,0.8241115808486938,0.8554719090461731,121,13,17.840354204177856
135,0.06866200305521489,0.846268355846405,0.8554719090461731,121,14,17.736693859100342
136,0.06552509712055325,0.8422357439994812,0.8554719090461731,121,15,17.76471710205078
137,0.06369677763432265,0.8385353088378906,0.8554719090461731,121,16,17.789977550506592
138,0.0682615621946752,0.8274434804916382,0.8554719090461731,121,17,17.737616777420044
139,0.06739180199801922,0.8482411503791809,0.8554719090461731,121,18,17.677730321884155
140,0.0653732031583786,0.8444674611091614,0.8554719090461731,121,19,17.72271490097046
141,0.06439783768728376,0.8418243527412415,0.8554719090461731,121,20,17.704010486602783
142,0.06299037765711546,0.8469564318656921,0.8554719090461731,121,21,17.796546936035156
143,0.0606291719712317,0.8329412341117859,0.8554719090461731,121,22,17.671229124069214
144,0.061444819904863834,0.8287363052368164,0.8554719090461731,121,23,17.77274513244629
145,0.06339134657755494,0.8483921885490417,0.8554719090461731,121,24,17.65617060661316
146,0.060555485915392636,0.8434966206550598,0.8554719090461731,121,25,17.71392035484314
147,0.0604880690574646,0.8381105661392212,0.8554719090461731,121,26,17.693888902664185
148,0.06194232190027833,0.8502202033996582,0.8554719090461731,121,27,17.64305806159973
149,0.06054132143035531,0.8521100282669067,0.8554719090461731,121,28,17.729625463485718
150,0.0587560024112463,0.8475230932235718,0.8554719090461731,121,29,17.69364094734192
151,0.07101202812045812,0.8502157330513,0.8554719090461731,121,30,17.770396947860718
152,0.06790124252438545,0.8349404335021973,0.8554719090461731,121,31,17.720396995544434
153,0.07839083597064019,0.8468828201293945,0.8554719090461731,121,32,17.995139360427856
154,0.0722030334174633,0.8456647992134094,0.8554719090461731,121,33,17.67536759376526
155,0.072448636777699,0.8162475824356079,0.8554719090461731,121,34,17.71342658996582
156,0.06463788468390703,0.8423763513565063,0.8554719090461731,121,35,17.764212369918823
157,0.06579899741336703,0.8426063656806946,0.8554719090461731,121,36,17.7315514087677
158,0.06206949865445495,0.8415950536727905,0.8554719090461731,121,37,17.74792742729187
159,0.06164461355656385,0.8501898646354675,0.8554719090461731,121,38,17.83728337287903
160,0.06620174320414662,0.8361342549324036,0.8554719090461731,121,39,17.754042148590088
161,0.06407336322590709,0.8519250750541687,0.8554719090461731,121,40,17.748197317123413
162,0.06281966362148524,0.8445097804069519,0.8554719090461731,121,41,17.73934316635132
163,0.059885754529386756,0.8391426205635071,0.8554719090461731,121,42,17.759061336517334
164,0.05870551150292158,0.8445876836776733,0.8554719090461731,121,43,17.758676528930664
165,0.05787425199523568,0.8531731367111206,0.8554719090461731,121,44,17.752336263656616
166,0.05639502862468362,0.8446257710456848,0.8554719090461731,121,45,17.706291913986206
167,0.05668210834264755,0.8504230380058289,0.8554719090461731,121,46,17.655585765838623
168,0.05665030060335994,0.853705883026123,0.8554719090461731,121,47,17.82374906539917
169,0.05805269982665777,0.8535774350166321,0.8554719090461731,121,48,17.733441591262817
170,0.05646242080256343,0.8569154739379883,0.8569154739379883,170,0,17.95254683494568
171,0.05684484513476491,0.8432925939559937,0.8569154739379883,170,1,17.656711101531982
172,0.06016333475708961,0.8431106805801392,0.8569154739379883,170,2,17.68291187286377
173,0.06622009631246328,0.8481254577636719,0.8569154739379883,170,3,17.69990062713623
174,0.07143286634236574,0.8349305391311646,0.8569154739379883,170,4,17.970094919204712
175,0.06497880732640623,0.8534971475601196,0.8569154739379883,170,5,17.737778425216675
176,0.06033947868272662,0.8471706509590149,0.8569154739379883,170,6,17.71223783493042
177,0.05929721482098103,0.8479474782943726,0.8569154739379883,170,7,17.724526166915894
178,0.06017373539507389,0.8497026562690735,0.8569154739379883,170,8,17.734395027160645
179,0.05673538455739617,0.8512535095214844,0.8569154739379883,170,9,17.759262800216675
180,0.05750152776017785,0.8497244119644165,0.8569154739379883,170,10,17.697474479675293
181,0.057046879548579454,0.8478785753250122,0.8569154739379883,170,11,17.623268127441406
182,0.06054796064272523,0.8301336169242859,0.8569154739379883,170,12,17.63770055770874
183,0.05769489612430334,0.8553684949874878,0.8569154739379883,170,13,18.011667013168335
184,0.05856688832864165,0.8360506296157837,0.8569154739379883,170,14,17.6969313621521
185,0.0619784670881927,0.8368913531303406,0.8569154739379883,170,15,17.670313358306885
186,0.06390877924859524,0.8422128558158875,0.8569154739379883,170,16,17.75925040245056
187,0.06766446540132165,0.8411208391189575,0.8569154739379883,170,17,17.6536922454834
188,0.05934344613924623,0.8359047770500183,0.8569154739379883,170,18,17.74895477294922
189,0.05679564820602536,0.8438109159469604,0.8569154739379883,170,19,17.787765979766846
190,0.05638466291129589,0.8468002080917358,0.8569154739379883,170,20,17.75057077407837
191,0.056316083669662474,0.8486398458480835,0.8569154739379883,170,21,17.7578182220459
192,0.05667910585179925,0.8467394113540649,0.8569154739379883,170,22,17.787391424179077
193,0.05629967153072357,0.8569766879081726,0.8569154739379883,170,23,17.634853839874268
194,0.05816143453121185,0.8554744720458984,0.8569154739379883,170,24,18.166348695755005
195,0.05651324884966016,0.8485841751098633,0.8569154739379883,170,25,17.721333265304565
196,0.05742504009976983,0.8478087186813354,0.8569154739379883,170,26,17.66409945487976
197,0.054028088226914406,0.8462753295898438,0.8569154739379883,170,27,17.67138123512268
198,0.05507130017504096,0.8529754877090454,0.8569154739379883,170,28,17.685280799865723
199,0.05269116070121527,0.8413699865341187,0.8569154739379883,170,29,17.754355907440186
200,0.052938641887158154,0.8545069694519043,0.8569154739379883,170,30,17.731444120407104
201,0.05336858192458749,0.855718731880188,0.8569154739379883,170,31,17.679595947265625
202,0.0530459308065474,0.8516834378242493,0.8569154739379883,170,32,17.8335702419281
203,0.05317809795960784,0.8574497103691101,0.8574497103691101,203,0,17.873785257339478
204,0.05335473520681262,0.8487399816513062,0.8574497103691101,203,1,17.71424627304077
205,0.0512162571772933,0.854831337928772,0.8574497103691101,203,2,17.738962173461914
206,0.0540072837844491,0.8435367345809937,0.8574497103691101,203,3,17.634315729141235
207,0.05373679911717773,0.850375771522522,0.8574497103691101,203,4,17.709255933761597
208,0.05441618049517274,0.8557541966438293,0.8574497103691101,203,5,17.721768140792847
209,0.05334513895213604,0.8597979545593262,0.8597979545593262,209,0,18.002277851104736
210,0.05304174749180675,0.8485689163208008,0.8597979545593262,209,1,17.644051790237427
211,0.05579314585775137,0.853229820728302,0.8597979545593262,209,2,17.76955270767212
212,0.05620754463598132,0.8519525527954102,0.8597979545593262,209,3,17.793551683425903
213,0.054011378064751626,0.8535110354423523,0.8597979545593262,209,4,17.68390202522278
214,0.05368700446560979,0.8482596278190613,0.8597979545593262,209,5,17.719306707382202
215,0.05723057333379984,0.8444665670394897,0.8597979545593262,209,6,17.754261016845703
216,0.05922463908791542,0.8262147903442383,0.8597979545593262,209,7,17.9693706035614
217,0.055555458460003135,0.8539489507675171,0.8597979545593262,209,8,17.720651865005493
218,0.05424775341525674,0.8318138122558594,0.8597979545593262,209,9,17.72859215736389
219,0.05642708139494061,0.8503610491752625,0.8597979545593262,209,10,17.64412569999695
220,0.06787334829568863,0.8060962557792664,0.8597979545593262,209,11,17.72423267364502
221,0.07424364713951945,0.8167737126350403,0.8597979545593262,209,12,17.702531337738037
222,0.07278135931119323,0.833851158618927,0.8597979545593262,209,13,17.65555500984192
223,0.07116767698898911,0.820548415184021,0.8597979545593262,209,14,17.743701219558716
224,0.076356680970639,0.8416129946708679,0.8597979545593262,209,15,17.738463878631592
225,0.06627206662669778,0.8487775921821594,0.8597979545593262,209,16,17.679638385772705
226,0.062877512909472,0.846376895904541,0.8597979545593262,209,17,17.66815757751465
227,0.06161088058724999,0.8434907793998718,0.8597979545593262,209,18,17.699427843093872
228,0.057462097331881526,0.8525078892707825,0.8597979545593262,209,19,17.693723678588867
229,0.055364863481372595,0.8452154397964478,0.8597979545593262,209,20,17.756011724472046
230,0.05489707943052054,0.8432815670967102,0.8597979545593262,209,21,17.751880884170532
231,0.052704231813549995,0.8552521467208862,0.8597979545593262,209,22,17.735252618789673
232,0.05088258860632777,0.8555907011032104,0.8597979545593262,209,23,17.74079179763794
233,0.05050862599164248,0.8541055917739868,0.8597979545593262,209,24,17.740027904510498
234,0.04981445781886577,0.8494184613227844,0.8597979545593262,209,25,17.730111122131348
235,0.04960530139505863,0.8550664186477661,0.8597979545593262,209,26,17.74051570892334
236,0.05006486726924777,0.852613091468811,0.8597979545593262,209,27,17.837304830551147
237,0.049211134854704144,0.8491528630256653,0.8597979545593262,209,28,17.902052640914917
238,0.04819904118776321,0.8593538403511047,0.8597979545593262,209,29,17.74047565460205
239,0.049499218724668025,0.8480734825134277,0.8597979545593262,209,30,17.731789112091064
240,0.05149264270439744,0.8441892862319946,0.8597979545593262,209,31,17.72935128211975
241,0.04927257113158703,0.8531268835067749,0.8597979545593262,209,32,17.719607830047607
242,0.049911117926239965,0.843784511089325,0.8597979545593262,209,33,17.74743676185608
243,0.049451416824012995,0.8532502055168152,0.8597979545593262,209,34,17.74176597595215
244,0.05052857222035527,0.8470295071601868,0.8597979545593262,209,35,17.72460913658142
245,0.05132588036358356,0.8550392985343933,0.8597979545593262,209,36,17.764939785003662
246,0.04956934740766883,0.8512442708015442,0.8597979545593262,209,37,18.01609182357788
247,0.04957941155880689,0.8525440096855164,0.8597979545593262,209,38,17.633817195892334
248,0.04904917478561401,0.839382529258728,0.8597979545593262,209,39,17.608324766159058
249,0.049365011509507895,0.8550306558609009,0.8597979545593262,209,40,17.692989110946655
250,0.048566045518964526,0.8525168299674988,0.8597979545593262,209,41,17.772331953048706
251,0.04775684848427773,0.8576339483261108,0.8597979545593262,209,42,17.738171100616455
252,0.04846043325960636,0.8588262796401978,0.8597979545593262,209,43,17.729043006896973
253,0.048316311091184616,0.8543502688407898,0.8597979545593262,209,44,17.761967658996582
254,0.04904897622764111,0.8530440330505371,0.8597979545593262,209,45,17.67332148551941
255,0.049985697492957115,0.8545465469360352,0.8597979545593262,209,46,17.77514934539795
256,0.05019594691693783,0.8494548797607422,0.8597979545593262,209,47,17.881454467773438
257,0.05040301214903593,0.8567259907722473,0.8597979545593262,209,48,17.78919005393982
258,0.05236914316192269,0.8549912571907043,0.8597979545593262,209,49,17.969407081604004
259,0.049540939088910815,0.8540958166122437,0.8597979545593262,209,50,17.759455680847168
