case_id,Baseline,Boundary,BC_nnUNet,OverallWinner
case01,24.0,16.0,14.0,BC_nnUNet
case02,25.0,18.0,11.0,BC_nnUNet
case03,23.0,14.0,17.0,Boundary
case04,16.0,18.0,20.0,Baseline
case05,21.0,22.0,11.0,BC_nnUNet
case06,20.0,22.0,12.0,BC_nnUNet
case07,12.0,23.0,19.0,Baseline
case08,23.0,12.0,19.0,Boundary
case09,17.0,13.0,24.0,Boundary
case10,20.0,20.0,14.0,BC_nnUNet
case11,14.5,23.0,16.5,Baseline
case12,23.0,12.5,18.5,Boundary
case13,27.0,17.0,10.0,BC_nnUNet
case14,19.0,16.5,18.5,Boundary
case15,24.0,19.0,11.0,BC_nnUNet
case16,25.0,16.5,12.5,BC_nnUNet
case17,22.0,17.0,15.0,BC_nnUNet
case18,23.0,20.0,11.0,BC_nnUNet
case19,10.0,20.0,24.0,Baseline
case20,24.0,12.0,18.0,Boundary
case21,26.0,17.0,11.0,BC_nnUNet
case22,24.0,17.0,13.0,BC_nnUNet
case23,16.5,18.5,19.0,Baseline
case24,14.5,13.5,26.0,Boundary
case25,18.0,18.0,18.0,Baseline
case26,26.0,17.0,11.0,BC_nnUNet
case27,19.0,13.0,22.0,Boundary
case28,27.0,10.0,17.0,Boundary
case29,21.0,20.0,13.0,BC_nnUNet
case30,9.0,18.0,27.0,Baseline
case31,27.0,17.0,10.0,BC_nnUNet
case32,23.0,13.0,18.0,Boundary
case33,16.0,22.0,16.0,Baseline
case34,25.0,10.0,19.0,Boundary
case35,24.0,18.0,12.0,BC_nnUNet
case36,20.0,20.0,14.0,BC_nnUNet
case37,13.0,20.0,21.0,Baseline
case38,22.0,12.0,20.0,Boundary
case39,12.0,25.5,16.5,Baseline
case40,26.0,13.5,14.5,Boundary
case41,23.0,19.0,12.0,BC_nnUNet
case42,22.5,20.5,11.0,BC_nnUNet
