case_id,Baseline,Boundary,BC_nnUNet,OverallWinner
MLLC0003,22.0,19.0,13.0,BC_nnUNet
MLLC0008,19.0,21.0,14.0,BC_nnUNet
MLLC0010,12.0,21.0,21.0,Baseline
MLLC0015,17.0,21.5,15.5,BC_nnUNet
MLLC0044,19.0,13.0,22.0,Boundary
MLLC0052,19.0,21.0,14.0,BC_nnUNet
MLLC0091,17.0,22.0,15.0,BC_nnUNet
MLLC0106,11.0,22.0,21.0,Baseline
MLLC0124,12.0,18.0,24.0,Baseline
MLLC0158,14.0,18.0,22.0,Baseline
MLLC0184,20.5,12.0,21.5,Boundary
MLLC0190,12.0,17.0,25.0,Baseline
MLLC0213,16.0,22.0,16.0,Baseline
MLLC0242,18.0,16.0,20.0,Boundary
MLLC0259,18.0,23.0,13.0,BC_nnUNet
MLLC0356,25.0,15.0,14.0,BC_nnUNet
MLLC0431,23.0,18.0,13.0,BC_nnUNet
MLLC0461,20.0,19.0,15.0,BC_nnUNet
MLLC0471,20.5,20.0,13.5,BC_nnUNet
MLLC0484,18.0,13.0,23.0,Boundary
MLLC0826,14.0,17.0,23.0,Baseline
MLLC0873,12.0,19.0,23.0,Baseline
MLLC0881,20.0,14.0,20.0,Boundary
MLLC0884,20.0,13.5,20.5,Boundary
MLLC0885,13.0,24.0,17.0,Baseline
MLLC0889,14.0,16.0,24.0,Baseline
MLLC0908,15.0,13.0,26.0,Boundary
MLLC0909,12.5,17.5,24.0,Baseline
MLLC0912,13.0,23.0,18.0,Baseline
MLLC0925,17.0,14.0,23.0,Boundary
MLLC0934,13.5,15.5,25.0,Baseline
MLLC0938,25.5,10.0,18.5,Boundary
MLLC0945,13.0,17.0,24.0,Baseline
MLLC0949,14.0,18.0,22.0,Baseline
MLLC0955,17.0,13.0,24.0,Boundary
MLLC0967,13.0,21.0,20.0,Baseline
MLLC0968,24.0,18.0,12.0,BC_nnUNet
MLLC0969,21.0,21.0,12.0,BC_nnUNet
MLLC0970,14.0,20.0,20.0,Baseline
MLLC0980,18.0,23.0,13.0,BC_nnUNet
MLLC0981,13.0,24.0,17.0,Baseline
MLLC0984,25.5,17.5,11.0,BC_nnUNet
MLLC0990,20.0,14.0,20.0,Boundary
MLLC0991,14.5,26.0,13.5,BC_nnUNet
MLLC1007,12.0,21.0,21.0,Baseline
MLLC1019,12.0,23.0,19.0,Baseline
MLLC1030,15.0,24.0,15.0,Baseline
MLLC1036,20.0,15.0,19.0,Boundary
MLLC1041,12.0,18.0,24.0,Baseline
MLLC1042,24.0,18.5,11.5,BC_nnUNet
