case_id,overlap_winner,overlap_ranksum__Baseline,overlap_ranksum__Boundary,overlap_ranksum__BC_nnUNet,boundary_winner,boundary_ranksum__Baseline,boundary_ranksum__Boundary,boundary_ranksum__BC_nnUNet,all_winner,all_ranksum__Baseline,all_ranksum__Boundary,all_ranksum__BC_nnUNet
MLLC0003,BC_nnUNet,10.0,9.0,5.0,BC_nnUNet,12.0,10.0,8.0,BC_nnUNet,22.0,19.0,13.0
MLLC0008,BC_nnUNet,8.0,10.0,6.0,BC_nnUNet,11.0,11.0,8.0,BC_nnUNet,19.0,21.0,14.0
MLLC0010,Baseline,5.0,9.0,10.0,Baseline,7.0,12.0,11.0,Baseline,12.0,21.0,21.0
MLLC0015,BC_nnUNet,8.0,10.0,6.0,Baseline,9.0,11.5,9.5,BC_nnUNet,17.0,21.5,15.5
MLLC0044,Boundary,8.0,6.0,10.0,Boundary,11.0,7.0,12.0,Boundary,19.0,13.0,22.0
MLLC0052,BC_nnUNet,8.0,10.0,6.0,BC_nnUNet,11.0,11.0,8.0,BC_nnUNet,19.0,21.0,14.0
MLLC0091,BC_nnUNet,9.0,10.0,5.0,Baseline,8.0,12.0,10.0,BC_nnUNet,17.0,22.0,15.0
MLLC0106,Baseline,5.0,11.0,8.0,Baseline,6.0,11.0,13.0,Baseline,11.0,22.0,21.0
MLLC0124,Baseline,6.0,8.0,10.0,Baseline,6.0,10.0,14.0,Baseline,12.0,18.0,24.0
MLLC0158,Baseline,6.0,8.0,10.0,Baseline,8.0,10.0,12.0,Baseline,14.0,18.0,22.0
MLLC0184,Boundary,7.5,5.0,11.5,Boundary,13.0,7.0,10.0,Boundary,20.5,12.0,21.5
MLLC0190,Baseline,6.0,7.0,11.0,Baseline,6.0,10.0,14.0,Baseline,12.0,17.0,25.0
MLLC0213,BC_nnUNet,8.0,10.0,6.0,Baseline,8.0,12.0,10.0,Baseline,16.0,22.0,16.0
MLLC0242,Baseline,6.0,10.0,8.0,Boundary,12.0,6.0,12.0,Boundary,18.0,16.0,20.0
MLLC0259,BC_nnUNet,8.0,10.0,6.0,BC_nnUNet,10.0,13.0,7.0,BC_nnUNet,18.0,23.0,13.0
MLLC0356,BC_nnUNet,11.0,7.0,6.0,Boundary,14.0,8.0,8.0,BC_nnUNet,25.0,15.0,14.0
MLLC0431,BC_nnUNet,10.0,8.0,6.0,BC_nnUNet,13.0,10.0,7.0,BC_nnUNet,23.0,18.0,13.0
MLLC0461,BC_nnUNet,8.0,10.0,6.0,Boundary,12.0,9.0,9.0,BC_nnUNet,20.0,19.0,15.0
MLLC0471,BC_nnUNet,10.0,8.0,6.0,BC_nnUNet,10.5,12.0,7.5,BC_nnUNet,20.5,20.0,13.5
MLLC0484,Boundary,9.0,5.0,10.0,Boundary,9.0,8.0,13.0,Boundary,18.0,13.0,23.0
MLLC0826,Baseline,6.0,7.0,11.0,Baseline,8.0,10.0,12.0,Baseline,14.0,17.0,23.0
MLLC0873,Baseline,4.0,9.0,11.0,Baseline,8.0,10.0,12.0,Baseline,12.0,19.0,23.0
MLLC0881,Boundary,8.0,6.0,10.0,Boundary,12.0,8.0,10.0,Boundary,20.0,14.0,20.0
MLLC0884,Boundary,8.0,5.0,11.0,Boundary,12.0,8.5,9.5,Boundary,20.0,13.5,20.5
MLLC0885,Baseline,5.0,10.0,9.0,Baseline,8.0,14.0,8.0,Baseline,13.0,24.0,17.0
MLLC0889,Baseline,5.5,8.5,10.0,Boundary,8.5,7.5,14.0,Baseline,14.0,16.0,24.0
MLLC0908,Boundary,7.0,5.0,12.0,Baseline,8.0,8.0,14.0,Boundary,15.0,13.0,26.0
MLLC0909,Baseline,4.5,8.5,11.0,Baseline,8.0,9.0,13.0,Baseline,12.5,17.5,24.0
MLLC0912,Baseline,6.0,10.0,8.0,Baseline,7.0,13.0,10.0,Baseline,13.0,23.0,18.0
MLLC0925,Boundary,8.0,5.0,11.0,Baseline,9.0,9.0,12.0,Boundary,17.0,14.0,23.0
MLLC0934,Baseline,5.0,7.0,12.0,Baseline,8.5,8.5,13.0,Baseline,13.5,15.5,25.0
MLLC0938,Boundary,10.5,4.5,9.0,Boundary,15.0,5.5,9.5,Boundary,25.5,10.0,18.5
MLLC0945,Baseline,5.0,7.0,12.0,Baseline,8.0,10.0,12.0,Baseline,13.0,17.0,24.0
MLLC0949,Baseline,5.0,7.0,12.0,Baseline,9.0,11.0,10.0,Baseline,14.0,18.0,22.0
MLLC0955,Boundary,9.0,4.0,11.0,Baseline,8.0,9.0,13.0,Boundary,17.0,13.0,24.0
MLLC0967,Baseline,5.0,10.0,9.0,Baseline,8.0,11.0,11.0,Baseline,13.0,21.0,20.0
MLLC0968,BC_nnUNet,12.0,7.0,5.0,BC_nnUNet,12.0,11.0,7.0,BC_nnUNet,24.0,18.0,12.0
MLLC0969,BC_nnUNet,11.0,8.0,5.0,BC_nnUNet,10.0,13.0,7.0,BC_nnUNet,21.0,21.0,12.0
MLLC0970,Baseline,6.0,10.0,8.0,Baseline,8.0,10.0,12.0,Baseline,14.0,20.0,20.0
MLLC0980,BC_nnUNet,8.0,10.0,6.0,BC_nnUNet,10.0,13.0,7.0,BC_nnUNet,18.0,23.0,13.0
MLLC0981,Baseline,6.0,10.0,8.0,Baseline,7.0,14.0,9.0,Baseline,13.0,24.0,17.0
MLLC0984,BC_nnUNet,11.0,9.0,4.0,BC_nnUNet,14.5,8.5,7.0,BC_nnUNet,25.5,17.5,11.0
MLLC0990,Boundary,9.0,5.0,10.0,Boundary,11.0,9.0,10.0,Boundary,20.0,14.0,20.0
MLLC0991,Baseline,6.0,11.0,7.0,BC_nnUNet,8.5,15.0,6.5,BC_nnUNet,14.5,26.0,13.5
MLLC1007,Baseline,5.0,8.0,11.0,Baseline,7.0,13.0,10.0,Baseline,12.0,21.0,21.0
MLLC1019,Baseline,5.0,10.0,9.0,Baseline,7.0,13.0,10.0,Baseline,12.0,23.0,19.0
MLLC1030,Baseline,6.0,10.0,8.0,BC_nnUNet,9.0,14.0,7.0,Baseline,15.0,24.0,15.0
MLLC1036,Boundary,11.0,4.0,9.0,Baseline,9.0,11.0,10.0,Boundary,20.0,15.0,19.0
MLLC1041,Baseline,5.0,9.0,10.0,Baseline,7.0,9.0,14.0,Baseline,12.0,18.0,24.0
MLLC1042,BC_nnUNet,10.0,9.0,5.0,BC_nnUNet,14.0,9.5,6.5,BC_nnUNet,24.0,18.5,11.5
