Dataset,Metric,Model,WinCount
SeedB,Dice,Baseline,23
SeedB,Dice,Boundary,11
SeedB,Dice,BC_nnUNet,16
SeedB,IoU,Baseline,23
SeedB,IoU,Boundary,11
SeedB,IoU,BC_nnUNet,16
SeedB,HD95_mm,Baseline,48
SeedB,HD95_mm,Boundary,1
SeedB,HD95_mm,BC_nnUNet,1
SeedB,ASSD_mm,Baseline,22
SeedB,ASSD_mm,Boundary,12
SeedB,ASSD_mm,BC_nnUNet,16
SeedB,SurfDice_1mm,Baseline,17
SeedB,SurfDice_1mm,Boundary,15
SeedB,SurfDice_1mm,BC_nnUNet,18
SeedB,SurfDice_2mm,Baseline,29
SeedB,SurfDice_2mm,Boundary,11
SeedB,SurfDice_2mm,BC_nnUNet,10
SeedB,Precision,Baseline,13
SeedB,Precision,Boundary,29
SeedB,Precision,BC_nnUNet,8
SeedB,Sensitivity,Baseline,24
SeedB,Sensitivity,Boundary,6
SeedB,Sensitivity,BC_nnUNet,20
SeedB,AbsVolDiff_mL,Baseline,23
SeedB,AbsVolDiff_mL,Boundary,12
SeedB,AbsVolDiff_mL,BC_nnUNet,15
HanSeg,Dice,Baseline,11
HanSeg,Dice,Boundary,11
HanSeg,Dice,BC_nnUNet,20
HanSeg,IoU,Baseline,11
HanSeg,IoU,Boundary,11
HanSeg,IoU,BC_nnUNet,20
HanSeg,HD95_mm,Baseline,25
HanSeg,HD95_mm,Boundary,6
HanSeg,HD95_mm,BC_nnUNet,11
HanSeg,ASSD_mm,Baseline,9
HanSeg,ASSD_mm,Boundary,14
HanSeg,ASSD_mm,BC_nnUNet,19
HanSeg,SurfDice_1mm,Baseline,5
HanSeg,SurfDice_1mm,Boundary,14
HanSeg,SurfDice_1mm,BC_nnUNet,23
HanSeg,SurfDice_2mm,Baseline,7
HanSeg,SurfDice_2mm,Boundary,15
HanSeg,SurfDice_2mm,BC_nnUNet,20
HanSeg,Precision,Baseline,11
HanSeg,Precision,Boundary,10
HanSeg,Precision,BC_nnUNet,21
HanSeg,Sensitivity,Baseline,15
HanSeg,Sensitivity,Boundary,18
HanSeg,Sensitivity,BC_nnUNet,9
HanSeg,AbsVolDiff_mL,Baseline,13
HanSeg,AbsVolDiff_mL,Boundary,12
HanSeg,AbsVolDiff_mL,BC_nnUNet,17
